confirm_id,cell_id,fine_mechanism,coarse_mechanism,mech,ego_v0,kind,d_conflict,s0,v0,v_lead,tc,decel_value,L,occ_s,t_leave,away_v,left_lane_actor_params,spec_json
c1_cross_stall_occ_01,cross_stall_occ,cross_stall_occ,cross,cross,6,ped,54,,,,,,,,,,queue,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall_occ"", ""d_conflict"": 54, ""ego_v"": 6, ""kind"": ""ped""}"
c1_cross_stall_occ_02,cross_stall_occ,cross_stall_occ,cross,cross,6,veh,56,,,,,,,,,,queue,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall_occ"", ""d_conflict"": 56, ""ego_v"": 6, ""kind"": ""veh""}"
c1_cross_stall_occ_03,cross_stall_occ,cross_stall_occ,cross,cross,7,ped,58,,,,,,,,,,queue,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall_occ"", ""d_conflict"": 58, ""ego_v"": 7, ""kind"": ""ped""}"
c1_cross_stall_occ_04,cross_stall_occ,cross_stall_occ,cross,cross,7,veh,60,,,,,,,,,,queue,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall_occ"", ""d_conflict"": 60, ""ego_v"": 7, ""kind"": ""veh""}"
c1_cross_stall_occ_05,cross_stall_occ,cross_stall_occ,cross,cross,8,ped,54,,,,,,,,,,queue,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall_occ"", ""d_conflict"": 54, ""ego_v"": 8, ""kind"": ""ped""}"
c1_cross_stall_occ_06,cross_stall_occ,cross_stall_occ,cross,cross,8,veh,62,,,,,,,,,,queue,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall_occ"", ""d_conflict"": 62, ""ego_v"": 8, ""kind"": ""veh""}"
c1_cross_stall_occ_07,cross_stall_occ,cross_stall_occ,cross,cross,6,ped,60,,,,,,,,,,queue,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall_occ"", ""d_conflict"": 60, ""ego_v"": 6, ""kind"": ""ped""}"
c1_cross_stall_occ_08,cross_stall_occ,cross_stall_occ,cross,cross,7,ped,62,,,,,,,,,,queue,"{""_prescreen"": ""NA"", ""cell"": ""cross_stall_occ"", ""d_conflict"": 62, ""ego_v"": 7, ""kind"": ""ped""}"
c1_block_nec_01,block_nec,block_nec,block_or_occupancy,block,6,,,,,,,,42,,,,,"{""L"": 42, ""_prescreen"": ""NA"", ""cell"": ""block_nec"", ""ego_v"": 6}"
c1_block_nec_02,block_nec,block_nec,block_or_occupancy,block,6,,,,,,,,47,,,,,"{""L"": 47, ""_prescreen"": ""NA"", ""cell"": ""block_nec"", ""ego_v"": 6}"
c1_block_nec_03,block_nec,block_nec,block_or_occupancy,block,7,,,,,,,,49,,,,,"{""L"": 49, ""_prescreen"": ""NA"", ""cell"": ""block_nec"", ""ego_v"": 7}"
c1_block_nec_04,block_nec,block_nec,block_or_occupancy,block,7,,,,,,,,53,,,,,"{""L"": 53, ""_prescreen"": ""NA"", ""cell"": ""block_nec"", ""ego_v"": 7}"
c1_block_nec_05,block_nec,block_nec,block_or_occupancy,block,8,,,,,,,,55,,,,,"{""L"": 55, ""_prescreen"": ""NA"", ""cell"": ""block_nec"", ""ego_v"": 8}"
c1_block_nec_06,block_nec,block_nec,block_or_occupancy,block,8,,,,,,,,59,,,,,"{""L"": 59, ""_prescreen"": ""NA"", ""cell"": ""block_nec"", ""ego_v"": 8}"
c1_block_nec_07,block_nec,block_nec,block_or_occupancy,block,9,,,,,,,,63,,,,,"{""L"": 63, ""_prescreen"": ""NA"", ""cell"": ""block_nec"", ""ego_v"": 9}"
c1_block_nec_08,block_nec,block_nec,block_or_occupancy,block,9,,,,,,,,57,,,,,"{""L"": 57, ""_prescreen"": ""NA"", ""cell"": ""block_nec"", ""ego_v"": 9}"
c1_block_cont_01,block_cont,block_cont,block_or_occupancy,block,6,,,,,,,,42,,,,,"{""L"": 42, ""_prescreen"": ""NA"", ""cell"": ""block_cont"", ""ego_v"": 6}"
c1_block_cont_02,block_cont,block_cont,block_or_occupancy,block,6,,,,,,,,47,,,,,"{""L"": 47, ""_prescreen"": ""NA"", ""cell"": ""block_cont"", ""ego_v"": 6}"
c1_block_cont_03,block_cont,block_cont,block_or_occupancy,block,7,,,,,,,,49,,,,,"{""L"": 49, ""_prescreen"": ""NA"", ""cell"": ""block_cont"", ""ego_v"": 7}"
c1_block_cont_04,block_cont,block_cont,block_or_occupancy,block,7,,,,,,,,53,,,,,"{""L"": 53, ""_prescreen"": ""NA"", ""cell"": ""block_cont"", ""ego_v"": 7}"
c1_block_cont_05,block_cont,block_cont,block_or_occupancy,block,8,,,,,,,,55,,,,,"{""L"": 55, ""_prescreen"": ""NA"", ""cell"": ""block_cont"", ""ego_v"": 8}"
c1_block_cont_06,block_cont,block_cont,block_or_occupancy,block,8,,,,,,,,59,,,,,"{""L"": 59, ""_prescreen"": ""NA"", ""cell"": ""block_cont"", ""ego_v"": 8}"
c1_block_cont_07,block_cont,block_cont,block_or_occupancy,block,9,,,,,,,,63,,,,,"{""L"": 63, ""_prescreen"": ""NA"", ""cell"": ""block_cont"", ""ego_v"": 9}"
c1_block_cont_08,block_cont,block_cont,block_or_occupancy,block,9,,,,,,,,57,,,,,"{""L"": 57, ""_prescreen"": ""NA"", ""cell"": ""block_cont"", ""ego_v"": 9}"
c1_lead_opt_01,lead_opt,lead_opt,lead,lead,6,,,49,,3.0,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""lead_opt"", ""ego_v"": 6, ""s0"": 49, ""v_lead"": 3.0}"
c1_lead_opt_02,lead_opt,lead_opt,lead,lead,6,,,51,,3.5,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""lead_opt"", ""ego_v"": 6, ""s0"": 51, ""v_lead"": 3.5}"
c1_lead_opt_03,lead_opt,lead_opt,lead,lead,7,,,53,,4.0,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""lead_opt"", ""ego_v"": 7, ""s0"": 53, ""v_lead"": 4.0}"
c1_lead_opt_04,lead_opt,lead_opt,lead,lead,7,,,55,,2.5,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""lead_opt"", ""ego_v"": 7, ""s0"": 55, ""v_lead"": 2.5}"
c1_lead_opt_05,lead_opt,lead_opt,lead,lead,8,,,57,,3.5,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""lead_opt"", ""ego_v"": 8, ""s0"": 57, ""v_lead"": 3.5}"
c1_lead_opt_06,lead_opt,lead_opt,lead,lead,8,,,59,,2.5,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""lead_opt"", ""ego_v"": 8, ""s0"": 59, ""v_lead"": 2.5}"
c1_lead_opt_07,lead_opt,lead_opt,lead,lead,9,,,61,,3.0,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""lead_opt"", ""ego_v"": 9, ""s0"": 61, ""v_lead"": 3.0}"
c1_lead_opt_08,lead_opt,lead_opt,lead,lead,9,,,63,,4.0,,,,,,,,"{""_prescreen"": ""NA"", ""cell"": ""lead_opt"", ""ego_v"": 9, ""s0"": 63, ""v_lead"": 4.0}"
c1_lead_nec_01,lead_nec,lead_nec,lead,lead,6,,,42,6,,2.0,2.5,,,,,,"{""_prescreen"": ""NA"", ""a"": 2.5, ""cell"": ""lead_nec"", ""ego_v"": 6, ""s0"": 42, ""tc"": 2.0, ""v0"": 6}"
c1_lead_nec_02,lead_nec,lead_nec,lead,lead,6,,,47,8,,2.5,2.5,,,,,,"{""_prescreen"": ""NA"", ""a"": 2.5, ""cell"": ""lead_nec"", ""ego_v"": 6, ""s0"": 47, ""tc"": 2.5, ""v0"": 8}"
c1_lead_nec_03,lead_nec,lead_nec,lead,lead,7,,,49,6,,1.5,3.0,,,,,,"{""_prescreen"": ""NA"", ""a"": 3.0, ""cell"": ""lead_nec"", ""ego_v"": 7, ""s0"": 49, ""tc"": 1.5, ""v0"": 6}"
c1_lead_nec_04,lead_nec,lead_nec,lead,lead,7,,,53,8,,2.0,2.5,,,,,,"{""_prescreen"": ""NA"", ""a"": 2.5, ""cell"": ""lead_nec"", ""ego_v"": 7, ""s0"": 53, ""tc"": 2.0, ""v0"": 8}"
c1_lead_nec_05,lead_nec,lead_nec,lead,lead,8,,,55,8,,2.5,2.5,,,,,,"{""_prescreen"": ""NA"", ""a"": 2.5, ""cell"": ""lead_nec"", ""ego_v"": 8, ""s0"": 55, ""tc"": 2.5, ""v0"": 8}"
c1_lead_nec_06,lead_nec,lead_nec,lead,lead,8,,,59,9,,2.0,3.0,,,,,,"{""_prescreen"": ""NA"", ""a"": 3.0, ""cell"": ""lead_nec"", ""ego_v"": 8, ""s0"": 59, ""tc"": 2.0, ""v0"": 9}"
c1_lead_nec_07,lead_nec,lead_nec,lead,lead,9,,,61,6,,1.5,2.5,,,,,,"{""_prescreen"": ""NA"", ""a"": 2.5, ""cell"": ""lead_nec"", ""ego_v"": 9, ""s0"": 61, ""tc"": 1.5, ""v0"": 6}"
c1_lead_nec_08,lead_nec,lead_nec,lead,lead,9,,,63,8,,2.5,2.5,,,,,,"{""_prescreen"": ""NA"", ""a"": 2.5, ""cell"": ""lead_nec"", ""ego_v"": 9, ""s0"": 63, ""tc"": 2.5, ""v0"": 8}"
c1_lead_cont_01,lead_cont,lead_cont,lead,lead,6,,,42,6,,2.0,2.5,,,,,queue,"{""_prescreen"": ""NA"", ""a"": 2.5, ""cell"": ""lead_cont"", ""ego_v"": 6, ""s0"": 42, ""tc"": 2.0, ""v0"": 6}"
c1_lead_cont_02,lead_cont,lead_cont,lead,lead,6,,,47,8,,2.5,2.5,,,,,queue,"{""_prescreen"": ""NA"", ""a"": 2.5, ""cell"": ""lead_cont"", ""ego_v"": 6, ""s0"": 47, ""tc"": 2.5, ""v0"": 8}"
c1_lead_cont_03,lead_cont,lead_cont,lead,lead,7,,,49,6,,1.5,3.0,,,,,queue,"{""_prescreen"": ""NA"", ""a"": 3.0, ""cell"": ""lead_cont"", ""ego_v"": 7, ""s0"": 49, ""tc"": 1.5, ""v0"": 6}"
c1_lead_cont_04,lead_cont,lead_cont,lead,lead,7,,,53,8,,2.0,2.5,,,,,queue,"{""_prescreen"": ""NA"", ""a"": 2.5, ""cell"": ""lead_cont"", ""ego_v"": 7, ""s0"": 53, ""tc"": 2.0, ""v0"": 8}"
c1_lead_cont_05,lead_cont,lead_cont,lead,lead,8,,,55,8,,2.5,2.5,,,,,queue,"{""_prescreen"": ""NA"", ""a"": 2.5, ""cell"": ""lead_cont"", ""ego_v"": 8, ""s0"": 55, ""tc"": 2.5, ""v0"": 8}"
c1_lead_cont_06,lead_cont,lead_cont,lead,lead,8,,,59,9,,2.0,3.0,,,,,queue,"{""_prescreen"": ""NA"", ""a"": 3.0, ""cell"": ""lead_cont"", ""ego_v"": 8, ""s0"": 59, ""tc"": 2.0, ""v0"": 9}"
c1_lead_cont_07,lead_cont,lead_cont,lead,lead,9,,,61,6,,1.5,2.5,,,,,queue,"{""_prescreen"": ""NA"", ""a"": 2.5, ""cell"": ""lead_cont"", ""ego_v"": 9, ""s0"": 61, ""tc"": 1.5, ""v0"": 6}"
c1_lead_cont_08,lead_cont,lead_cont,lead,lead,9,,,63,8,,2.5,2.5,,,,,queue,"{""_prescreen"": ""NA"", ""a"": 2.5, ""cell"": ""lead_cont"", ""ego_v"": 9, ""s0"": 63, ""tc"": 2.5, ""v0"": 8}"
c1_temp_opt_01,temp_opt,temp_opt,block_or_occupancy,temp,6,,,,,,,,,53,3.0,8,,"{""_prescreen"": ""NA"", ""away_v"": 8, ""cell"": ""temp_opt"", ""ego_v"": 6, ""occ_s"": 53, ""t_leave"": 3.0}"
c1_temp_opt_02,temp_opt,temp_opt,block_or_occupancy,temp,6,,,,,,,,,56,4.5,9,,"{""_prescreen"": ""NA"", ""away_v"": 9, ""cell"": ""temp_opt"", ""ego_v"": 6, ""occ_s"": 56, ""t_leave"": 4.5}"
c1_temp_opt_03,temp_opt,temp_opt,block_or_occupancy,temp,6,,,,,,,,,59,2.5,11,,"{""_prescreen"": ""NA"", ""away_v"": 11, ""cell"": ""temp_opt"", ""ego_v"": 6, ""occ_s"": 59, ""t_leave"": 2.5}"
c1_temp_opt_04,temp_opt,temp_opt,block_or_occupancy,temp,7,,,,,,,,,61,5.5,8,,"{""_prescreen"": ""NA"", ""away_v"": 8, ""cell"": ""temp_opt"", ""ego_v"": 7, ""occ_s"": 61, ""t_leave"": 5.5}"
c1_temp_opt_05,temp_opt,temp_opt,block_or_occupancy,temp,7,,,,,,,,,63,3.5,9,,"{""_prescreen"": ""NA"", ""away_v"": 9, ""cell"": ""temp_opt"", ""ego_v"": 7, ""occ_s"": 63, ""t_leave"": 3.5}"
c1_temp_opt_06,temp_opt,temp_opt,block_or_occupancy,temp,8,,,,,,,,,57,6.5,11,,"{""_prescreen"": ""NA"", ""away_v"": 11, ""cell"": ""temp_opt"", ""ego_v"": 8, ""occ_s"": 57, ""t_leave"": 6.5}"
c1_temp_opt_07,temp_opt,temp_opt,block_or_occupancy,temp,8,,,,,,,,,64,2.5,9,,"{""_prescreen"": ""NA"", ""away_v"": 9, ""cell"": ""temp_opt"", ""ego_v"": 8, ""occ_s"": 64, ""t_leave"": 2.5}"
c1_temp_opt_08,temp_opt,temp_opt,block_or_occupancy,temp,9,,,,,,,,,62,4.5,11,,"{""_prescreen"": ""NA"", ""away_v"": 11, ""cell"": ""temp_opt"", ""ego_v"": 9, ""occ_s"": 62, ""t_leave"": 4.5}"
