sample_id,mechanism,file,scenario_id,ego_speed,evidence
S030,M2_vehicle_crossing,tfrecord-00455-of-01000_287.json,5d5c303083b2d5cb,0.0,"{""M4"": {""lat0"": -29.39, ""lat_min"": 0.13}, ""M2"": {""lat_span"": 9.0}}"
S031,M2_vehicle_crossing,tfrecord-00085-of-01000_48.json,4cc84c0a54fb8597,9.4,"{""M2"": {""lat_span"": 4.99}, ""M4"": {""lat0"": -4.61, ""lat_min"": 0.0}, ""M5"": {""lon0"": -59.08, ""lon_end"": 29.17}}"
S032,M2_vehicle_crossing,tfrecord-00163-of-01000_103.json,c5fb0ee6058d7e20,13.16,"{""M2"": {""lat_span"": 10.1}, ""M4"": {""lat0"": -10.09, ""lat_min"": 0.01}, ""M5"": {""lon0"": -14.08, ""lon_end"": 55.89}}"
S033,M2_vehicle_crossing,tfrecord-00344-of-01000_75.json,b455424deba358a5,6.71,"{""M5"": {""lon0"": -14.01, ""lon_end"": 19.14}, ""M2"": {""lat_span"": 9.59}, ""M4"": {""lat0"": -8.44, ""lat_min"": 0.03}}"
S034,M2_vehicle_crossing,tfrecord-00212-of-01000_44.json,2d552952c3232e10,2.78,"{""M2"": {""lat_span"": 4.9}, ""M6"": {""lat_end"": -4.31}}"
S035,M2_vehicle_crossing,tfrecord-00139-of-01000_335.json,40564e4cdd5eb0fb,3.68,"{""M2"": {""lat_span"": 7.03}}"
S036,M2_vehicle_crossing,tfrecord-00327-of-01000_56.json,56ac0983e17f61eb,6.49,"{""M2"": {""lat_span"": 11.98}, ""M4"": {""lat0"": 7.56, ""lat_min"": 0.43}, ""M5"": {""lon0"": -12.86, ""lon_end"": 33.17}}"
S037,M2_vehicle_crossing,tfrecord-00310-of-01000_235.json,e11d9f9207d2ac7f,2.11,"{""M2"": {""lat_span"": 20.76}, ""M4"": {""lat0"": 21.99, ""lat_min"": 1.23}}"
S038,M2_vehicle_crossing,tfrecord-00225-of-01000_323.json,159ffe8d830f0db7,8.69,"{""M2"": {""lat_span"": 7.74}, ""M4"": {""lat0"": -4.94, ""lat_min"": 0.32}, ""M5"": {""lon0"": -14.38, ""lon_end"": 14.47}}"
S039,M2_vehicle_crossing,tfrecord-00206-of-01000_229.json,98e3939ac8816862,0.0,"{""M2"": {""lat_span"": 9.16}, ""M6"": {""lat_end"": -7.53}}"
S040,M3_vru_crossing,tfrecord-00405-of-01000_81.json,369f33a00d0af47a,0.0,"{""M3"": {""lat_span"": 8.84}, ""M6"": {""lat_end"": 7.98}}"
S041,M3_vru_crossing,tfrecord-00081-of-01000_59.json,9a0706235a5db575,6.51,"{""M3"": {""lat_span"": 8.03}, ""M4"": {""lat0"": -8.75, ""lat_min"": 0.86}}"
S042,M3_vru_crossing,tfrecord-00440-of-01000_490.json,7a901167264f92f9,0.0,"{""M3"": {""lat_span"": 11.63}, ""M4"": {""lat0"": 9.36, ""lat_min"": 0.08}}"
S043,M3_vru_crossing,tfrecord-00463-of-01000_339.json,9dae79dc8a17bf2,1.89,"{""M3"": {""lat_span"": 8.64}, ""M4"": {""lat0"": 8.55, ""lat_min"": 0.09}, ""M6"": {""lat_end"": -3.08}}"
S044,M3_vru_crossing,tfrecord-00076-of-01000_75.json,6e694c5acaa75ba3,0.0,"{""M3"": {""lat_span"": 4.86}, ""M6"": {""lat_end"": -3.56}}"
S045,M3_vru_crossing,tfrecord-00180-of-01000_376.json,7c8e58bb508ab02e,2.32,"{""M3"": {""lat_span"": 4.32}, ""M4"": {""lat0"": -9.4, ""lat_min"": 0.13}, ""M6"": {""lat_end"": -14.88}}"
S046,M3_vru_crossing,tfrecord-00182-of-01000_98.json,5290993b7a7b8c13,0.0,"{""M3"": {""lat_span"": 10.45}}"
S047,M3_vru_crossing,tfrecord-00004-of-01000_459.json,7df5512ee143cc26,0.0,"{""M3"": {""lat_span"": 9.81}, ""M5"": {""lon0"": -1.86, ""lon_end"": 3.13}}"
S048,M3_vru_crossing,tfrecord-00285-of-01000_375.json,17219fc19581ae30,0.0,"{""M3"": {""lat_span"": 10.29}, ""M6"": {""lat_end"": -6.51}}"
S049,M3_vru_crossing,tfrecord-00175-of-01000_434.json,7c85e9557938c25d,4.93,"{""M3"": {""lat_span"": 11.07}}"
S050,M3_vru_crossing,tfrecord-00295-of-01000_222.json,5a2f959ca6f187e,0.05,"{""M3"": {""lat_span"": 9.64}}"
S051,M3_vru_crossing,tfrecord-00018-of-01000_330.json,94225a810c071f4e,0.03,"{""M3"": {""lat_span"": 11.96}, ""M6"": {""lat_end"": -10.61}}"
S052,M3_vru_crossing,tfrecord-00245-of-01000_261.json,8364be9d4797d336,2.92,"{""M3"": {""lat_span"": 13.42}, ""M4"": {""lat0"": -8.16, ""lat_min"": 0.03}}"
S053,M3_vru_crossing,tfrecord-00388-of-01000_108.json,c5eac7c506519e5,4.45,"{""M3"": {""lat_span"": 7.84}}"
S054,M3_vru_crossing,tfrecord-00273-of-01000_270.json,191ace10d2014a3,1.23,"{""M3"": {""lat_span"": 6.24}}"
S055,M3_vru_crossing,tfrecord-00209-of-01000_470.json,a67c7338a1641db6,0.0,"{""M3"": {""lat_span"": 5.82}, ""M5"": {""lon0"": -2.32, ""lon_end"": 4.68}, ""M4"": {""lat0"": -11.46, ""lat_min"": 0.1}}"
S056,M3_vru_crossing,tfrecord-00237-of-01000_184.json,26b72f1d4c639bc0,0.0,"{""M3"": {""lat_span"": 11.16}}"
S057,M3_vru_crossing,tfrecord-00118-of-01000_273.json,5d748b97590d8824,0.0,"{""M5"": {""lon0"": -6.49, ""lon_end"": 3.74}, ""M3"": {""lat_span"": 4.06}}"
S058,M3_vru_crossing,tfrecord-00278-of-01000_132.json,ef3abd588fe58539,0.0,"{""M4"": {""lat0"": -3.31, ""lat_min"": 0.26}, ""M3"": {""lat_span"": 8.93}, ""M6"": {""lat_end"": -8.4}}"
S059,M3_vru_crossing,tfrecord-00243-of-01000_478.json,9a9bdf8c62752c46,0.0,"{""M3"": {""lat_span"": 7.45}}"
S060,M4_cut_in,tfrecord-00155-of-01000_228.json,c71137942666db43,0.14,"{""M5"": {""lon0"": -8.16, ""lon_end"": 18.27}, ""M4"": {""lat0"": -3.21, ""lat_min"": 0.1}}"
S061,M4_cut_in,tfrecord-00388-of-01000_493.json,cac99437ece7604b,18.52,"{""M4"": {""lat0"": 6.55, ""lat_min"": 1.47}, ""M6"": {""lat_end"": -3.05}}"
S062,M4_cut_in,tfrecord-00352-of-01000_103.json,aabed3809cf99d15,9.19,"{""M4"": {""lat0"": 28.51, ""lat_min"": 0.49}}"
S063,M4_cut_in,tfrecord-00084-of-01000_350.json,ecb60a973e57910,8.74,"{""M6"": {""lat_end"": -5.13}, ""M4"": {""lat0"": 10.69, ""lat_min"": 0.25}}"
S064,M4_cut_in,tfrecord-00386-of-01000_449.json,67126a4d912e4983,20.14,"{""M4"": {""lat0"": 3.08, ""lat_min"": 0.96}, ""M5"": {""lon0"": -40.48, ""lon_end"": 122.16}}"
S065,M4_cut_in,tfrecord-00059-of-01000_323.json,c753ec7071688587,13.04,"{""M5"": {""lon0"": -24.2, ""lon_end"": 79.49}, ""M4"": {""lat0"": -3.69, ""lat_min"": 0.1}}"
S066,M4_cut_in,tfrecord-00428-of-01000_79.json,b44e5a5d18faeca9,18.45,"{""M5"": {""lon0"": -9.97, ""lon_end"": 133.92}, ""M4"": {""lat0"": 3.68, ""lat_min"": 0.63}}"
S067,M4_cut_in,tfrecord-00222-of-01000_136.json,584cbcb62edca36a,11.36,"{""M5"": {""lon0"": -18.46, ""lon_end"": 102.9}, ""M4"": {""lat0"": -3.85, ""lat_min"": 0.07}}"
S068,M4_cut_in,tfrecord-00107-of-01000_469.json,e1bf97354bfc43a9,28.04,"{""M4"": {""lat0"": -3.8, ""lat_min"": 0.57}, ""M5"": {""lon0"": -38.39, ""lon_end"": 178.8}}"
S069,M4_cut_in,tfrecord-00244-of-01000_330.json,bf4c1dc736cc91f8,8.36,"{""M4"": {""lat0"": 5.51, ""lat_min"": 0.13}}"
S070,M4_cut_in,tfrecord-00146-of-01000_102.json,922b660a1ed8d211,20.06,"{""M4"": {""lat0"": -4.46, ""lat_min"": 1.09}, ""M5"": {""lon0"": -71.82, ""lon_end"": 92.57}}"
S071,M4_cut_in,tfrecord-00411-of-01000_380.json,bb9e9bf637373095,7.06,"{""M4"": {""lat0"": -10.78, ""lat_min"": 0.02}}"
S072,M4_cut_in,tfrecord-00454-of-01000_274.json,c66f942c99090614,0.0,"{""M4"": {""lat0"": 2.82, ""lat_min"": 0.03}, ""M5"": {""lon0"": -37.54, ""lon_end"": 10.34}}"
S073,M4_cut_in,tfrecord-00471-of-01000_352.json,e63c92303a8b256,0.0,"{""M4"": {""lat0"": -2.53, ""lat_min"": 1.49}}"
S074,M4_cut_in,tfrecord-00138-of-01000_87.json,7a3134ac55a15cd1,19.93,"{""M4"": {""lat0"": 2.66, ""lat_min"": 0.1}, ""M5"": {""lon0"": -45.22, ""lon_end"": 65.26}}"
S075,M4_cut_in,tfrecord-00210-of-01000_428.json,6b1621bbbcf66091,13.36,"{""M4"": {""lat0"": -3.74, ""lat_min"": 0.13}, ""M5"": {""lon0"": -46.73, ""lon_end"": 52.74}}"
S076,M4_cut_in,tfrecord-00337-of-01000_224.json,1100f3fa52e0322,0.0,"{""M4"": {""lat0"": -60.18, ""lat_min"": 0.6}, ""M6"": {""lat_end"": -66.83}}"
S077,M4_cut_in,tfrecord-00497-of-01000_104.json,a86596d2b1c6bbfe,2.86,"{""M4"": {""lat0"": 4.34, ""lat_min"": 0.16}, ""M6"": {""lat_end"": -5.42}}"
S078,M4_cut_in,tfrecord-00468-of-01000_82.json,6958363d9c040f6b,11.03,"{""M4"": {""lat0"": -13.04, ""lat_min"": 1.27}}"
S079,M4_cut_in,tfrecord-00186-of-01000_443.json,4cf087e719e4d376,4.33,"{""M4"": {""lat0"": 15.28, ""lat_min"": 1.24}, ""M5"": {""lon0"": -61.62, ""lon_end"": 23.68}}"
S080,M5_merge,tfrecord-00165-of-01000_375.json,d809213b83d2763,15.73,"{""M5"": {""lon0"": -40.0, ""lon_end"": 88.47}}"
S081,M5_merge,tfrecord-00344-of-01000_445.json,149e00cc6d036c93,19.27,"{""M5"": {""lon0"": -22.27, ""lon_end"": 102.84}}"
S082,M5_merge,tfrecord-00185-of-01000_400.json,91c18e7cb09858d8,1.31,"{""M5"": {""lon0"": -11.6, ""lon_end"": 3.29}}"
S083,M5_merge,tfrecord-00241-of-01000_236.json,a2545cadf6a23d71,3.72,"{""M5"": {""lon0"": -12.24, ""lon_end"": 17.01}, ""M6"": {""lat_end"": -3.3}}"
S084,M5_merge,tfrecord-00230-of-01000_57.json,b3f9a265f397695f,3.9,"{""M5"": {""lon0"": -22.26, ""lon_end"": 8.94}}"
S085,M5_merge,tfrecord-00256-of-01000_202.json,b021bddf8ce900b8,11.16,"{""M5"": {""lon0"": -28.46, ""lon_end"": 74.84}}"
S086,M5_merge,tfrecord-00197-of-01000_54.json,17b876946b25411c,12.45,"{""M5"": {""lon0"": -44.57, ""lon_end"": 60.25}}"
S087,M5_merge,tfrecord-00194-of-01000_97.json,b5b8d4b6b43f8c0,10.73,"{""M5"": {""lon0"": -47.8, ""lon_end"": 52.37}}"
S088,M5_merge,tfrecord-00451-of-01000_296.json,c7952a1af20860be,2.36,"{""M5"": {""lon0"": -29.25, ""lon_end"": 7.1}}"
S089,M5_merge,tfrecord-00189-of-01000_0.json,323119fb13ab107e,16.7,"{""M5"": {""lon0"": -38.68, ""lon_end"": 116.21}}"
S090,M5_merge,tfrecord-00341-of-01000_155.json,e2d946ff84807088,15.71,"{""M5"": {""lon0"": -18.95, ""lon_end"": 131.65}}"
S091,M5_merge,tfrecord-00030-of-01000_129.json,32525eef370f4260,4.58,"{""M5"": {""lon0"": -40.62, ""lon_end"": 3.32}}"
S092,M5_merge,tfrecord-00052-of-01000_58.json,ca789f41e2dfee6f,18.4,"{""M5"": {""lon0"": -16.43, ""lon_end"": 43.4}}"
S093,M5_merge,tfrecord-00040-of-01000_471.json,81c21385e6c987ba,8.77,"{""M5"": {""lon0"": -8.43, ""lon_end"": 92.26}}"
S094,M5_merge,tfrecord-00015-of-01000_349.json,7d88bd97a0f4e4fc,0.0,"{""M5"": {""lon0"": -6.22, ""lon_end"": 11.07}}"
S095,M5_merge,tfrecord-00077-of-01000_271.json,64f508cfd14662b5,20.15,"{""M5"": {""lon0"": -31.71, ""lon_end"": 127.99}}"
S096,M5_merge,tfrecord-00106-of-01000_317.json,93c2cbbcad32ec03,20.08,"{""M5"": {""lon0"": -46.82, ""lon_end"": 119.38}}"
S097,M5_merge,tfrecord-00256-of-01000_9.json,71a62c4576144628,16.22,"{""M5"": {""lon0"": -33.02, ""lon_end"": 95.93}}"
S098,M5_merge,tfrecord-00031-of-01000_196.json,3230b5b5127da148,5.83,"{""M5"": {""lon0"": -13.67, ""lon_end"": 7.54}}"
S099,M5_merge,tfrecord-00081-of-01000_342.json,f2c86a4e5779faa2,0.31,"{""M5"": {""lon0"": -59.04, ""lon_end"": 3.82}}"
S100,M6_temp_occupancy,tfrecord-00348-of-01000_229.json,d4e9a62aae9db8e5,8.43,"{""M6"": {""lat_end"": 8.0}}"
S101,M6_temp_occupancy,tfrecord-00195-of-01000_282.json,3b3235f0493dee47,5.37,"{""M6"": {""lat_end"": -40.53}}"
S102,M6_temp_occupancy,tfrecord-00223-of-01000_368.json,e4e89aa91b4c7453,2.07,"{""M6"": {""lat_end"": -3.48}}"
S103,M6_temp_occupancy,tfrecord-00231-of-01000_421.json,1e89df7f6db2f1c0,0.47,"{""M6"": {""lat_end"": -73.58}}"
S104,M6_temp_occupancy,tfrecord-00440-of-01000_60.json,b17279b3d039e83c,18.16,"{""M6"": {""lat_end"": 6.66}}"
S105,M6_temp_occupancy,tfrecord-00041-of-01000_279.json,daf841e5a17e28f9,0.0,"{""M6"": {""lat_end"": -5.95}}"
S106,M6_temp_occupancy,tfrecord-00120-of-01000_390.json,67d01ebf140936a2,4.08,"{""M6"": {""lat_end"": -21.68}}"
S107,M6_temp_occupancy,tfrecord-00371-of-01000_128.json,190f4cc8818b15fd,2.9,"{""M6"": {""lat_end"": -13.15}}"
S108,M6_temp_occupancy,tfrecord-00420-of-01000_55.json,b9bbb753f0e096ee,5.02,"{""M6"": {""lat_end"": 46.2}}"
S109,M6_temp_occupancy,tfrecord-00427-of-01000_79.json,bcfc99fe0d4137cc,10.65,"{""M6"": {""lat_end"": -10.27}}"
S110,M6_temp_occupancy,tfrecord-00426-of-01000_336.json,8e8d2874a7bd1464,0.47,"{""M6"": {""lat_end"": 7.53}}"
S111,M6_temp_occupancy,tfrecord-00321-of-01000_150.json,ba28f21ba487764b,0.0,"{""M6"": {""lat_end"": 3.85}}"
S112,M6_temp_occupancy,tfrecord-00267-of-01000_305.json,396cd3f8e37df89d,2.19,"{""M6"": {""lat_end"": -15.28}}"
S113,M6_temp_occupancy,tfrecord-00443-of-01000_185.json,9e527afeb19a2711,2.93,"{""M6"": {""lat_end"": -4.57}}"
S114,M6_temp_occupancy,tfrecord-00052-of-01000_307.json,371449c803e1e064,0.0,"{""M6"": {""lat_end"": 11.44}}"
S115,M6_temp_occupancy,tfrecord-00003-of-01000_270.json,6677b9f2ceefe9ed,0.1,"{""M6"": {""lat_end"": 32.82}}"
S116,M6_temp_occupancy,tfrecord-00023-of-01000_167.json,c8f237031f8bfad4,1.37,"{""M6"": {""lat_end"": -52.75}}"
S117,M6_temp_occupancy,tfrecord-00379-of-01000_365.json,7a9c8ed5f0cf467a,2.78,"{""M6"": {""lat_end"": -11.63}}"
S118,M6_temp_occupancy,tfrecord-00011-of-01000_226.json,87f93fdc4ce5ba95,0.0,"{""M6"": {""lat_end"": 3.18}}"
S119,M6_temp_occupancy,tfrecord-00231-of-01000_319.json,82a40618cac9b210,0.0,"{""M6"": {""lat_end"": -6.42}}"
