state_i,state_j,mechanism_i,mechanism_j,d
2e10359a52c4c299,4c876e42879d5527,M6_temp_occupancy,M5_merge,0.146755
2e10359a52c4c299,3201e0ad7075dd38,M6_temp_occupancy,M2_vehicle_crossing,0.212003
2e10359a52c4c299,a0a7a5764d3e2c97,M6_temp_occupancy,M1_lead_slow_stop,0.300593
2e10359a52c4c299,7d68b3426a9bb6ad,M6_temp_occupancy,M2_vehicle_crossing,0.196133
2e10359a52c4c299,799ff247470c3549,M6_temp_occupancy,M2_vehicle_crossing,0.083573
2e10359a52c4c299,7a54acbbcff5c08e,M6_temp_occupancy,M3_vru_crossing,0.258514
2e10359a52c4c299,cd10d9c4e582dce2,M6_temp_occupancy,M6_temp_occupancy,0.265994
2e10359a52c4c299,a0ba5287bfa5fa01,M6_temp_occupancy,M6_temp_occupancy,0.173426
2e10359a52c4c299,949fd82d6e44a34d,M6_temp_occupancy,M2_vehicle_crossing,0.127104
2e10359a52c4c299,56ccc5750f15ed5f,M6_temp_occupancy,M1_lead_slow_stop,0.308314
2e10359a52c4c299,3a6c26ba1a3aaad6,M6_temp_occupancy,M4_cut_in,0.173426
2e10359a52c4c299,cd8a838bce665a70,M6_temp_occupancy,M2_vehicle_crossing,0.173426
2e10359a52c4c299,b18c133f146677a7,M6_temp_occupancy,M2_vehicle_crossing,0.20077
2e10359a52c4c299,90059d0f51151747,M6_temp_occupancy,M1_lead_slow_stop,0.214087
2e10359a52c4c299,12b591f1cf3a512f,M6_temp_occupancy,M5_merge,0.175021
2e10359a52c4c299,61e1636e2ab9f43e,M6_temp_occupancy,M1_lead_slow_stop,0.259611
2e10359a52c4c299,ee651f48b99ac793,M6_temp_occupancy,M3_vru_crossing,0.20147
2e10359a52c4c299,c65883931103e25c,M6_temp_occupancy,M3_vru_crossing,0.189112
2e10359a52c4c299,f804b2352d0791d2,M6_temp_occupancy,M6_temp_occupancy,0.285042
2e10359a52c4c299,12c4604478212e7f,M6_temp_occupancy,M4_cut_in,0.188631
2e10359a52c4c299,c757f0db71e9ac59,M6_temp_occupancy,M2_vehicle_crossing,0.17757
2e10359a52c4c299,1650ec864aa4a2fe,M6_temp_occupancy,M4_cut_in,0.184471
2e10359a52c4c299,1b7882c46e1bb5be,M6_temp_occupancy,M6_temp_occupancy,0.223262
2e10359a52c4c299,8f0d9def6f4a1228,M6_temp_occupancy,M4_cut_in,0.183441
2e10359a52c4c299,d7d4b8d47a368383,M6_temp_occupancy,M5_merge,0.173426
2e10359a52c4c299,aab6b95a0fb95b9f,M6_temp_occupancy,M4_cut_in,0.186609
2e10359a52c4c299,c99507df4ad4899,M6_temp_occupancy,M1_lead_slow_stop,0.242079
2e10359a52c4c299,92fac5998e2feef1,M6_temp_occupancy,M1_lead_slow_stop,0.26492
2e10359a52c4c299,533ebc889bf91c14,M6_temp_occupancy,M1_lead_slow_stop,0.278928
2e10359a52c4c299,624d07c6cf70dc90,M6_temp_occupancy,M4_cut_in,0.15549
2e10359a52c4c299,c1e9a535b80c7600,M6_temp_occupancy,M5_merge,0.17757
2e10359a52c4c299,e00e8f2f8643f2e,M6_temp_occupancy,M4_cut_in,0.142848
2e10359a52c4c299,1769632bbd68d1c1,M6_temp_occupancy,M5_merge,0.206063
2e10359a52c4c299,e765ea8a0b617a42,M6_temp_occupancy,M3_vru_crossing,0.20077
2e10359a52c4c299,76c55e81fb37f2ac,M6_temp_occupancy,M3_vru_crossing,0.17599
2e10359a52c4c299,9d2059d1b77947bc,M6_temp_occupancy,M4_cut_in,0.17757
2e10359a52c4c299,563d70d87bbc465b,M6_temp_occupancy,M6_temp_occupancy,0.0859
2e10359a52c4c299,1d083ebbbe36e48d,M6_temp_occupancy,M4_cut_in,0.182912
2e10359a52c4c299,e0849e47fc78ca2a,M6_temp_occupancy,M1_lead_slow_stop,0.260368
2e10359a52c4c299,f638d14064c977ac,M6_temp_occupancy,M1_lead_slow_stop,0.147779
2e10359a52c4c299,6e1eda0e7ef91e27,M6_temp_occupancy,M5_merge,0.182529
2e10359a52c4c299,b1bc03805735b4e4,M6_temp_occupancy,M3_vru_crossing,0.20077
2e10359a52c4c299,612bd3de9ba8eb4b,M6_temp_occupancy,M4_cut_in,0.175814
2e10359a52c4c299,190944907e8617c0,M6_temp_occupancy,M6_temp_occupancy,0.173426
2e10359a52c4c299,4ef7d4e590e80eef,M6_temp_occupancy,M3_vru_crossing,0.19656
2e10359a52c4c299,26284a71f3345792,M6_temp_occupancy,M2_vehicle_crossing,0.17757
2e10359a52c4c299,2b77998b1f344810,M6_temp_occupancy,M1_lead_slow_stop,0.236366
2e10359a52c4c299,305237d2a2712dd3,M6_temp_occupancy,M1_lead_slow_stop,0.280557
2e10359a52c4c299,c189f693c5a3b02a,M6_temp_occupancy,M3_vru_crossing,0.32813
2e10359a52c4c299,124d7f59135f20a5,M6_temp_occupancy,M6_temp_occupancy,0.173426
2e10359a52c4c299,78b120a22bfd9f46,M6_temp_occupancy,M4_cut_in,0.20077
2e10359a52c4c299,9c08d46cf7d1aaaa,M6_temp_occupancy,M1_lead_slow_stop,0.194177
2e10359a52c4c299,cfc120339602119,M6_temp_occupancy,M4_cut_in,0.200525
2e10359a52c4c299,3f555b82bde102fc,M6_temp_occupancy,M6_temp_occupancy,0.227462
2e10359a52c4c299,ac36bc6d71571082,M6_temp_occupancy,M2_vehicle_crossing,0.153441
2e10359a52c4c299,9928daa89a7f867b,M6_temp_occupancy,M1_lead_slow_stop,0.333368
2e10359a52c4c299,8468181412d01e3,M6_temp_occupancy,M6_temp_occupancy,0.173426
2e10359a52c4c299,a2ca56f7b38e7242,M6_temp_occupancy,M2_vehicle_crossing,0.197883
2e10359a52c4c299,6e35ffca282009ab,M6_temp_occupancy,M4_cut_in,0.183786
2e10359a52c4c299,111da837fe570e37,M6_temp_occupancy,M4_cut_in,0.170193
2e10359a52c4c299,5c7ecedbcbb18b21,M6_temp_occupancy,M5_merge,0.227271
2e10359a52c4c299,9eaa527e9f58c06d,M6_temp_occupancy,M3_vru_crossing,0.220655
2e10359a52c4c299,2691891bbf109269,M6_temp_occupancy,M4_cut_in,0.177375
2e10359a52c4c299,585ffc8db08d83cd,M6_temp_occupancy,M2_vehicle_crossing,0.146755
2e10359a52c4c299,a5cd3520be00add9,M6_temp_occupancy,M5_merge,0.185451
2e10359a52c4c299,cddd2f9c18dc2a3b,M6_temp_occupancy,M4_cut_in,0.173426
2e10359a52c4c299,94c25b4be74d177b,M6_temp_occupancy,M1_lead_slow_stop,0.318783
2e10359a52c4c299,f47f7ad1c8fc8e29,M6_temp_occupancy,M3_vru_crossing,0.146755
2e10359a52c4c299,b1dab228a8902a1a,M6_temp_occupancy,M5_merge,0.059152
2e10359a52c4c299,a7f18baa0d6428a,M6_temp_occupancy,M2_vehicle_crossing,0.173686
2e10359a52c4c299,cfa9e536755eaf1d,M6_temp_occupancy,M6_temp_occupancy,0.146755
2e10359a52c4c299,53523986d5d038fe,M6_temp_occupancy,M6_temp_occupancy,0.173426
2e10359a52c4c299,683cae1a10f71fcd,M6_temp_occupancy,M1_lead_slow_stop,0.277936
2e10359a52c4c299,d24010aa6888e4e5,M6_temp_occupancy,M6_temp_occupancy,0.309514
2e10359a52c4c299,dcfab9621bc1420,M6_temp_occupancy,M4_cut_in,0.205201
2e10359a52c4c299,22ea9b030d395c39,M6_temp_occupancy,M5_merge,0.166078
2e10359a52c4c299,8bfeaae8e7475de2,M6_temp_occupancy,M4_cut_in,0.15604
2e10359a52c4c299,31ae19fdb4f075ba,M6_temp_occupancy,M5_merge,0.177729
2e10359a52c4c299,d1c30693ca04bbf4,M6_temp_occupancy,M6_temp_occupancy,0.261177
2e10359a52c4c299,2533b9fed1fde2ca,M6_temp_occupancy,M6_temp_occupancy,0.17757
2e10359a52c4c299,44b65a5c4f3c07ed,M6_temp_occupancy,M2_vehicle_crossing,0.357338
2e10359a52c4c299,f2abf57c98faabf3,M6_temp_occupancy,M1_lead_slow_stop,0.276858
2e10359a52c4c299,a47da157cf1535bb,M6_temp_occupancy,M4_cut_in,0.20077
2e10359a52c4c299,376bec12f4590827,M6_temp_occupancy,M2_vehicle_crossing,0.209456
2e10359a52c4c299,58d55d4e683aa30c,M6_temp_occupancy,M4_cut_in,0.203041
2e10359a52c4c299,b2bbecd9aa7c99d8,M6_temp_occupancy,M2_vehicle_crossing,0.216646
2e10359a52c4c299,a8c0edb805dca37b,M6_temp_occupancy,M4_cut_in,0.170805
2e10359a52c4c299,d8c32f51e1a8356a,M6_temp_occupancy,M3_vru_crossing,0.209091
2e10359a52c4c299,6c50f7bf6b8d17ee,M6_temp_occupancy,M6_temp_occupancy,0.20077
2e10359a52c4c299,71de99ddf789f26,M6_temp_occupancy,M1_lead_slow_stop,0.274981
2e10359a52c4c299,c4edbe4985f2d06d,M6_temp_occupancy,M4_cut_in,0.235332
2e10359a52c4c299,363faaa196b74966,M6_temp_occupancy,M2_vehicle_crossing,0.131761
2e10359a52c4c299,b06bfeb1c578e77,M6_temp_occupancy,M1_lead_slow_stop,0.27794
2e10359a52c4c299,73806f84d0434ef3,M6_temp_occupancy,M6_temp_occupancy,0.173426
2e10359a52c4c299,a766c68d1e0bfa43,M6_temp_occupancy,M1_lead_slow_stop,0.205982
2e10359a52c4c299,38e85776dd8b8106,M6_temp_occupancy,M1_lead_slow_stop,0.257879
2e10359a52c4c299,77f8172643ca02de,M6_temp_occupancy,M3_vru_crossing,0.176421
2e10359a52c4c299,79b3221698f21ee7,M6_temp_occupancy,M2_vehicle_crossing,0.205641
2e10359a52c4c299,dfc3a8f83fb09e3a,M6_temp_occupancy,M3_vru_crossing,0.246514
2e10359a52c4c299,be509a6ffaaa9637,M6_temp_occupancy,M6_temp_occupancy,0.184684
2e10359a52c4c299,b96922fb23927f9f,M6_temp_occupancy,M6_temp_occupancy,0.173426
2e10359a52c4c299,e53427e70b8b956d,M6_temp_occupancy,M6_temp_occupancy,0.199896
2e10359a52c4c299,bb5140b6317d0164,M6_temp_occupancy,M1_lead_slow_stop,0.357979
2e10359a52c4c299,2171d3475a332588,M6_temp_occupancy,M3_vru_crossing,0.236244
2e10359a52c4c299,ae672ec38ffe80b5,M6_temp_occupancy,M1_lead_slow_stop,0.191142
2e10359a52c4c299,68fd9de9ecd79093,M6_temp_occupancy,M1_lead_slow_stop,0.18372
2e10359a52c4c299,5f9a42f8298a9eea,M6_temp_occupancy,M5_merge,0.161254
2e10359a52c4c299,d864c4fbd40d6060,M6_temp_occupancy,M6_temp_occupancy,0.150227
2e10359a52c4c299,834851971ef51d60,M6_temp_occupancy,M6_temp_occupancy,0.159369
2e10359a52c4c299,227059f2f85c2a20,M6_temp_occupancy,M2_vehicle_crossing,0.161945
2e10359a52c4c299,a70f5b2aa2077f39,M6_temp_occupancy,M1_lead_slow_stop,0.225807
2e10359a52c4c299,a7bda27624b52639,M6_temp_occupancy,M1_lead_slow_stop,0.209323
2e10359a52c4c299,970d525be9f42db8,M6_temp_occupancy,M4_cut_in,0.173426
2e10359a52c4c299,bd7976b23815850c,M6_temp_occupancy,M6_temp_occupancy,0.169245
2e10359a52c4c299,c5451a572e14ddc8,M6_temp_occupancy,M4_cut_in,0.246957
2e10359a52c4c299,19d0df1d5bb64120,M6_temp_occupancy,M6_temp_occupancy,0.170361
2e10359a52c4c299,beab8af24d4e6e00,M6_temp_occupancy,M1_lead_slow_stop,0.149535
2e10359a52c4c299,eb6df0134d7ac47f,M6_temp_occupancy,M5_merge,0.173426
2e10359a52c4c299,32e165cf3f26d718,M6_temp_occupancy,M5_merge,0.173426
2e10359a52c4c299,42c8823444df7298,M6_temp_occupancy,M4_cut_in,0.178977
2e10359a52c4c299,865973078bb706b1,M6_temp_occupancy,M5_merge,0.220539
2e10359a52c4c299,df8855a5b77f2ed9,M6_temp_occupancy,M4_cut_in,0.17757
2e10359a52c4c299,fc2b51fef48a323,M6_temp_occupancy,M3_vru_crossing,0.258721
2e10359a52c4c299,a568f52e21a784d9,M6_temp_occupancy,M5_merge,0.173906
2e10359a52c4c299,6b6f521ecacbd19f,M6_temp_occupancy,M3_vru_crossing,0.19008
2e10359a52c4c299,ed7deb8d2dee3b52,M6_temp_occupancy,M6_temp_occupancy,0.173426
2e10359a52c4c299,c0b0cf92f425dd27,M6_temp_occupancy,M4_cut_in,0.254423
2e10359a52c4c299,e81d8e76f45369fd,M6_temp_occupancy,M4_cut_in,0.155568
2e10359a52c4c299,22a1e427c28a77ad,M6_temp_occupancy,M3_vru_crossing,0.288842
2e10359a52c4c299,4f663890025eab46,M6_temp_occupancy,M6_temp_occupancy,0.279302
2e10359a52c4c299,62bad9e61da6dc44,M6_temp_occupancy,M1_lead_slow_stop,0.301032
2e10359a52c4c299,e527e1e12a9fdc28,M6_temp_occupancy,M1_lead_slow_stop,0.296866
2e10359a52c4c299,b080b8a75de6f465,M6_temp_occupancy,M5_merge,0.182345
2e10359a52c4c299,d709fe4d4c483cf2,M6_temp_occupancy,M5_merge,0.233977
2e10359a52c4c299,a26d48ddce5f4f47,M6_temp_occupancy,M5_merge,0.175766
2e10359a52c4c299,7e92290bd886d936,M6_temp_occupancy,M6_temp_occupancy,0.17757
2e10359a52c4c299,c4f810396985181f,M6_temp_occupancy,M2_vehicle_crossing,0.202531
2e10359a52c4c299,b8108d7a8e6d9b0f,M6_temp_occupancy,M6_temp_occupancy,0.153189
2e10359a52c4c299,964835b104e546b7,M6_temp_occupancy,M6_temp_occupancy,0.20077
2e10359a52c4c299,6537fe33af0264c4,M6_temp_occupancy,M4_cut_in,0.12857
2e10359a52c4c299,8001dede9725b235,M6_temp_occupancy,M2_vehicle_crossing,0.20601
2e10359a52c4c299,bfb4079c7ce63a40,M6_temp_occupancy,M4_cut_in,0.20077
2e10359a52c4c299,83aaead1d047fcfd,M6_temp_occupancy,M6_temp_occupancy,0.17757
2e10359a52c4c299,bdbf44d435f680cc,M6_temp_occupancy,M3_vru_crossing,0.250863
2e10359a52c4c299,37579382cdbc7907,M6_temp_occupancy,M3_vru_crossing,0.260516
2e10359a52c4c299,51aa6df10ffa1539,M6_temp_occupancy,M4_cut_in,0.142422
2e10359a52c4c299,46ed0d7e95c06e9c,M6_temp_occupancy,M3_vru_crossing,0.121525
2e10359a52c4c299,f7d61c994f5c773,M6_temp_occupancy,M3_vru_crossing,0.197562
2e10359a52c4c299,3921421d5571f009,M6_temp_occupancy,M6_temp_occupancy,0.189116
2e10359a52c4c299,89a5c1dd7b5e34e2,M6_temp_occupancy,M1_lead_slow_stop,0.204499
2e10359a52c4c299,1a12220e6534c2e2,M6_temp_occupancy,M5_merge,0.173959
2e10359a52c4c299,ca571aa786fe0edc,M6_temp_occupancy,M3_vru_crossing,0.13723
2e10359a52c4c299,15dd8b00811682c6,M6_temp_occupancy,M6_temp_occupancy,0.17757
2e10359a52c4c299,7f159fbdf79377cf,M6_temp_occupancy,M4_cut_in,0.176658
2e10359a52c4c299,8387e91c8d9ef4e5,M6_temp_occupancy,M1_lead_slow_stop,0.264246
2e10359a52c4c299,2d25cf74c78398d6,M6_temp_occupancy,M1_lead_slow_stop,0.278855
2e10359a52c4c299,2a15bffe9d0283a6,M6_temp_occupancy,M2_vehicle_crossing,0.155296
2e10359a52c4c299,567e972333c9f8d2,M6_temp_occupancy,M2_vehicle_crossing,0.173426
2e10359a52c4c299,88d928bedcb34c09,M6_temp_occupancy,M4_cut_in,0.252457
2e10359a52c4c299,5a375264f6e08467,M6_temp_occupancy,M3_vru_crossing,0.232757
2e10359a52c4c299,17b25328341276d5,M6_temp_occupancy,M5_merge,0.17367
2e10359a52c4c299,a9d519a871369ec9,M6_temp_occupancy,M5_merge,0.173426
2e10359a52c4c299,79c076bb5b2087ca,M6_temp_occupancy,M6_temp_occupancy,0.165613
2e10359a52c4c299,c66a695593bbb676,M6_temp_occupancy,M3_vru_crossing,0.201266
2e10359a52c4c299,180ce0d9525fefad,M6_temp_occupancy,M5_merge,0.189605
2e10359a52c4c299,a577bd257f31c6b3,M6_temp_occupancy,M2_vehicle_crossing,0.17757
2e10359a52c4c299,ee8a56fbf694ea41,M6_temp_occupancy,M4_cut_in,0.179688
2e10359a52c4c299,b917f507b35f5b17,M6_temp_occupancy,M2_vehicle_crossing,0.169657
2e10359a52c4c299,e3b4e3f3a09617e4,M6_temp_occupancy,M1_lead_slow_stop,0.199243
2e10359a52c4c299,daaefd02b2e087b4,M6_temp_occupancy,M4_cut_in,0.185145
2e10359a52c4c299,11baee9e26708b28,M6_temp_occupancy,M2_vehicle_crossing,0.20784
2e10359a52c4c299,6646d8a4c3d41f86,M6_temp_occupancy,M5_merge,0.197398
2e10359a52c4c299,315116b299899d4c,M6_temp_occupancy,M4_cut_in,0.177211
2e10359a52c4c299,d81ce363e8e76181,M6_temp_occupancy,M5_merge,0.195963
2e10359a52c4c299,d3ccf3a60c94897b,M6_temp_occupancy,M6_temp_occupancy,0.20077
2e10359a52c4c299,e462adf60f7b5453,M6_temp_occupancy,M4_cut_in,0.169066
2e10359a52c4c299,3392709446e04b2e,M6_temp_occupancy,M3_vru_crossing,0.293229
2e10359a52c4c299,b44d525c54204290,M6_temp_occupancy,M5_merge,0.173664
2e10359a52c4c299,c6229e407151955,M6_temp_occupancy,M4_cut_in,0.17757
2e10359a52c4c299,335d32f832e5f076,M6_temp_occupancy,M5_merge,0.176813
2e10359a52c4c299,d58bbf57267f9fab,M6_temp_occupancy,M4_cut_in,0.203912
2e10359a52c4c299,6e1e3cbc291ef7,M6_temp_occupancy,M1_lead_slow_stop,0.313577
2e10359a52c4c299,4a48386f6b1d24d5,M6_temp_occupancy,M1_lead_slow_stop,0.279802
2e10359a52c4c299,c1a7220be20f184c,M6_temp_occupancy,M2_vehicle_crossing,0.173426
2e10359a52c4c299,86ea7ff0250ae8b2,M6_temp_occupancy,M6_temp_occupancy,0.17757
2e10359a52c4c299,3e5656d9a79ebc2d,M6_temp_occupancy,M3_vru_crossing,0.20077
2e10359a52c4c299,e9e36d08e891398b,M6_temp_occupancy,M3_vru_crossing,0.217073
2e10359a52c4c299,f1eead8948b039b3,M6_temp_occupancy,M1_lead_slow_stop,0.33087
2e10359a52c4c299,d27136ce55af0d05,M6_temp_occupancy,M6_temp_occupancy,0.283387
2e10359a52c4c299,ada91b10b7953974,M6_temp_occupancy,M3_vru_crossing,0.179549
2e10359a52c4c299,c36348cd92f7095b,M6_temp_occupancy,M1_lead_slow_stop,0.277054
2e10359a52c4c299,63418b1539331901,M6_temp_occupancy,M5_merge,0.174723
2e10359a52c4c299,f432b7291cdb4115,M6_temp_occupancy,M4_cut_in,0.177543
2e10359a52c4c299,ef74ec33e9f467eb,M6_temp_occupancy,M3_vru_crossing,0.230907
2e10359a52c4c299,68d9bc6afeb45562,M6_temp_occupancy,M2_vehicle_crossing,0.207333
2e10359a52c4c299,3b2734e62ea77e0b,M6_temp_occupancy,M2_vehicle_crossing,0.095875
2e10359a52c4c299,4c66a1ff494d0326,M6_temp_occupancy,M5_merge,0.103232
2e10359a52c4c299,5c667f775158d5c6,M6_temp_occupancy,M3_vru_crossing,0.194731
2e10359a52c4c299,7f65791db2146b65,M6_temp_occupancy,M3_vru_crossing,0.122645
2e10359a52c4c299,44b68799dbb7da70,M6_temp_occupancy,M6_temp_occupancy,0.179114
2e10359a52c4c299,1a7ff74577475c4a,M6_temp_occupancy,M3_vru_crossing,0.275099
2e10359a52c4c299,1fb56b3dc02f219,M6_temp_occupancy,M5_merge,0.183595
2e10359a52c4c299,8f0d6e6621ba2e93,M6_temp_occupancy,M1_lead_slow_stop,0.270982
2e10359a52c4c299,f31626a269c44694,M6_temp_occupancy,M6_temp_occupancy,0.34847
2e10359a52c4c299,7cbf0e765fca9e76,M6_temp_occupancy,M5_merge,0.173426
2e10359a52c4c299,476bce23b3e638d5,M6_temp_occupancy,M2_vehicle_crossing,0.035236
2e10359a52c4c299,51d387a7e090adc5,M6_temp_occupancy,M3_vru_crossing,0.28308
2e10359a52c4c299,7ec53982d954fb89,M6_temp_occupancy,M6_temp_occupancy,0.197238
2e10359a52c4c299,f5cf95b720b572f9,M6_temp_occupancy,M6_temp_occupancy,0.234297
2e10359a52c4c299,28db5dc9611a9081,M6_temp_occupancy,M5_merge,0.173426
2e10359a52c4c299,70dffe26f853a7ef,M6_temp_occupancy,M2_vehicle_crossing,0.137402
2e10359a52c4c299,df4c6fa6c765ec1b,M6_temp_occupancy,M3_vru_crossing,0.234768
2e10359a52c4c299,56b1e8aced6c7bc0,M6_temp_occupancy,M3_vru_crossing,0.3728
2e10359a52c4c299,f8c0a8cecce3a643,M6_temp_occupancy,M3_vru_crossing,0.146755
2e10359a52c4c299,48f93b86942dfe7c,M6_temp_occupancy,M6_temp_occupancy,0.173426
2e10359a52c4c299,16204a7755094bb7,M6_temp_occupancy,M6_temp_occupancy,0.095301
2e10359a52c4c299,8589a58aaa319e10,M6_temp_occupancy,M6_temp_occupancy,0.095301
2e10359a52c4c299,5ca43a44c81a6987,M6_temp_occupancy,M3_vru_crossing,0.173426
2e10359a52c4c299,3523d1b97fde5dd7,M6_temp_occupancy,M5_merge,0.173426
2e10359a52c4c299,529d0c9664dabfba,M6_temp_occupancy,M4_cut_in,0.120445
2e10359a52c4c299,18d655273dfaa17b,M6_temp_occupancy,M2_vehicle_crossing,0.173426
2e10359a52c4c299,ad89a673afcb15ef,M6_temp_occupancy,M1_lead_slow_stop,0.171599
2e10359a52c4c299,5a21770f51a706ec,M6_temp_occupancy,M4_cut_in,0.165263
2e10359a52c4c299,391579da819e88f8,M6_temp_occupancy,M4_cut_in,0.146755
2e10359a52c4c299,48176b7209253062,M6_temp_occupancy,M1_lead_slow_stop,0.274786
2e10359a52c4c299,4e1604c6653c917d,M6_temp_occupancy,M2_vehicle_crossing,0.160192
2e10359a52c4c299,46be633224ba688d,M6_temp_occupancy,M1_lead_slow_stop,0.314364
2e10359a52c4c299,a22e67eb167f1d0f,M6_temp_occupancy,M5_merge,0.177991
2e10359a52c4c299,39d2af1de320da61,M6_temp_occupancy,M3_vru_crossing,0.183424
2e10359a52c4c299,c92800a7dd649eb0,M6_temp_occupancy,M3_vru_crossing,0.230355
2e10359a52c4c299,af8d2b2e7bf74387,M6_temp_occupancy,M1_lead_slow_stop,0.326396
2e10359a52c4c299,8191df8947207928,M6_temp_occupancy,M1_lead_slow_stop,0.17553
2e10359a52c4c299,8bbba7bd646c0988,M6_temp_occupancy,M2_vehicle_crossing,0.173426
2e10359a52c4c299,e8f0bb32d5de2d24,M6_temp_occupancy,M5_merge,0.017176
2e10359a52c4c299,c68ab5161508001f,M6_temp_occupancy,M1_lead_slow_stop,0.210475
2e10359a52c4c299,b01112211aeddce1,M6_temp_occupancy,M1_lead_slow_stop,0.28125
2e10359a52c4c299,3c878000bc5ecd2e,M6_temp_occupancy,M6_temp_occupancy,0.20077
2e10359a52c4c299,c57fca37918359be,M6_temp_occupancy,M2_vehicle_crossing,0.173426
2e10359a52c4c299,d1874810bd087f05,M6_temp_occupancy,M2_vehicle_crossing,0.200947
2e10359a52c4c299,9e340849e6807323,M6_temp_occupancy,M4_cut_in,0.16604
2e10359a52c4c299,fb142b6dfa344e7d,M6_temp_occupancy,M6_temp_occupancy,0.146755
2e10359a52c4c299,b4593a7849572046,M6_temp_occupancy,M5_merge,0.173426
