scenario_id,file,primary_mechanism,auxiliary,lane_width,ego_speed,evidence
90059d0f51151747,90059d0f51151747.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,4.744,6.92,"{""M1"": 0.04, ""M5"": [-28.48, 9.21]}"
cb033836fe55cb71,cb033836fe55cb71.json,M1_lead_slow_stop,M1_lead_slow_stop;M4_cut_in,3.519,7.05,"{""M1"": 0.0, ""M4"": [-49.62]}"
c68ab5161508001f,c68ab5161508001f.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,2.942,10.46,"{""M1"": 0.0, ""M5"": [-48.94, 12.16]}"
aff1b25771a6b4e5,aff1b25771a6b4e5.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.033,11.24,"{""M1"": 0.0, ""M5"": [-37.5, 29.73]}"
48176b7209253062,48176b7209253062.json,M1_lead_slow_stop,M6_temp_occupancy;M1_lead_slow_stop;M4_cut_in,3.239,0.0,"{""M6"": -12.9, ""M1"": 0.0, ""M4"": [-29.92]}"
89a5c1dd7b5e34e2,89a5c1dd7b5e34e2.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.331,9.63,"{""M1"": 0.02, ""M5"": [-26.62, 25.02]}"
af8d2b2e7bf74387,af8d2b2e7bf74387.json,M1_lead_slow_stop,M1_lead_slow_stop,3.337,0.0,"{""M1"": 0.0}"
533ebc889bf91c14,533ebc889bf91c14.json,M1_lead_slow_stop,M1_lead_slow_stop,3.329,0.0,"{""M1"": 0.0}"
593b60d37e0756a3,593b60d37e0756a3.json,M1_lead_slow_stop,M1_lead_slow_stop,2.994,0.0,"{""M1"": 0.0}"
68fd9de9ecd79093,68fd9de9ecd79093.json,M1_lead_slow_stop,M4_cut_in;M2_vehicle_crossing;M1_lead_slow_stop,3.177,0.0,"{""M4"": [-33.04], ""M2"": 25.52, ""M1"": 0.0}"
8cc706db611c60f3,8cc706db611c60f3.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.785,8.76,"{""M1"": 0.01, ""M5"": [-28.12, 30.27]}"
71de99ddf789f26,71de99ddf789f26.json,M1_lead_slow_stop,M3_vru_crossing;M4_cut_in;M1_lead_slow_stop;M6_temp_occupancy,3.333,0.0,"{""M3"": 14.04, ""M4"": [-22.79], ""M1"": 0.0, ""M6"": -35.79}"
f638d14064c977ac,f638d14064c977ac.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.623,4.8,"{""M1"": 0.0, ""M5"": [-22.59, 7.23]}"
ba2cae3b8abf2fb7,ba2cae3b8abf2fb7.json,M1_lead_slow_stop,M3_vru_crossing;M6_temp_occupancy;M2_vehicle_crossing;M4_cut_in;M1_lead_slow_stop,4.153,0.0,"{""M3"": 11.66, ""M6"": 11.97, ""M2"": 40.71, ""M4"": [-15.32], ""M1"": 0.0}"
beab8af24d4e6e00,beab8af24d4e6e00.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.87,16.02,"{""M1"": 5.64, ""M5"": [-36.82, 59.25]}"
86e4585ee70fd316,86e4585ee70fd316.json,M1_lead_slow_stop,M1_lead_slow_stop,3.288,0.4,"{""M1"": 0.0}"
9c08d46cf7d1aaaa,9c08d46cf7d1aaaa.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,1.08,11.49,"{""M1"": 4.15, ""M5"": [-32.66, 34.5]}"
305237d2a2712dd3,305237d2a2712dd3.json,M1_lead_slow_stop,M1_lead_slow_stop,3.367,0.18,"{""M1"": 0.04}"
422031c4323005cb,422031c4323005cb.json,M1_lead_slow_stop,M1_lead_slow_stop,1.131,10.03,"{""M1"": 0.08}"
4a48386f6b1d24d5,4a48386f6b1d24d5.json,M1_lead_slow_stop,M1_lead_slow_stop,3.514,0.0,"{""M1"": 0.0}"
db8f0c4bca59d849,db8f0c4bca59d849.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.754,5.61,"{""M1"": 0.2, ""M5"": [-29.69, 5.95]}"
bb5140b6317d0164,bb5140b6317d0164.json,M1_lead_slow_stop,M1_lead_slow_stop,1.886,0.0,"{""M1"": 0.0}"
86e25df75a6995f4,86e25df75a6995f4.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.24,11.31,"{""M1"": 6.44, ""M5"": [-39.48, 43.54]}"
bff5b958fa495b42,bff5b958fa495b42.json,M1_lead_slow_stop,M6_temp_occupancy;M1_lead_slow_stop;M5_merge,3.783,16.26,"{""M6"": 7.22, ""M1"": 8.63, ""M5"": [-61.88, 39.93]}"
cce2b45ecc9a9a23,cce2b45ecc9a9a23.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.069,10.03,"{""M1"": 3.65, ""M5"": [-71.41, 5.95]}"
d6619d51e2a9cb2e,d6619d51e2a9cb2e.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,2.995,9.97,"{""M1"": 4.17, ""M5"": [-23.07, 36.44]}"
16423aee2f237dfd,16423aee2f237dfd.json,M1_lead_slow_stop,M1_lead_slow_stop;M2_vehicle_crossing,3.752,0.0,"{""M1"": 0.0, ""M2"": 69.27}"
a7bda27624b52639,a7bda27624b52639.json,M1_lead_slow_stop,M2_vehicle_crossing;M6_temp_occupancy;M4_cut_in;M1_lead_slow_stop,3.464,0.0,"{""M2"": 56.48, ""M6"": -6.06, ""M4"": [-46.89], ""M1"": 0.0}"
94c25b4be74d177b,94c25b4be74d177b.json,M1_lead_slow_stop,M1_lead_slow_stop;M6_temp_occupancy,2.885,0.0,"{""M1"": 0.0, ""M6"": 51.93}"
96a816b2f4b62e88,96a816b2f4b62e88.json,M1_lead_slow_stop,M2_vehicle_crossing;M6_temp_occupancy;M1_lead_slow_stop;M4_cut_in,3.169,1.05,"{""M2"": 57.01, ""M6"": 48.56, ""M1"": 0.02, ""M4"": [43.65]}"
cb86548c32715796,cb86548c32715796.json,M1_lead_slow_stop,M1_lead_slow_stop;M6_temp_occupancy;M5_merge,1.614,15.08,"{""M1"": 3.04, ""M6"": -3.93, ""M5"": [-37.04, 49.49]}"
8f0d6e6621ba2e93,8f0d6e6621ba2e93.json,M1_lead_slow_stop,M1_lead_slow_stop,3.32,1.54,"{""M1"": 0.0}"
b1d458988d0b5eae,b1d458988d0b5eae.json,M1_lead_slow_stop,M1_lead_slow_stop,3.996,0.0,"{""M1"": 0.03}"
46089fa0cbe376a,46089fa0cbe376a.json,M1_lead_slow_stop,M4_cut_in;M2_vehicle_crossing;M1_lead_slow_stop,3.153,0.0,"{""M4"": [31.21], ""M2"": 25.98, ""M1"": 0.0}"
18593071c0511bb8,18593071c0511bb8.json,M1_lead_slow_stop,M1_lead_slow_stop,3.17,9.68,"{""M1"": 0.0}"
ad89a673afcb15ef,ad89a673afcb15ef.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.231,16.19,"{""M1"": 8.41, ""M5"": [-50.58, 55.96]}"
bc30f1a4671b4030,bc30f1a4671b4030.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.364,11.38,"{""M1"": 6.47, ""M5"": [-62.84, 56.53]}"
d0e6cf812b2c3a6d,d0e6cf812b2c3a6d.json,M1_lead_slow_stop,M1_lead_slow_stop;M6_temp_occupancy;M5_merge,3.968,12.59,"{""M1"": 6.39, ""M6"": 37.0, ""M5"": [-64.52, 72.46]}"
a766c68d1e0bfa43,a766c68d1e0bfa43.json,M1_lead_slow_stop,M1_lead_slow_stop;M5_merge,3.256,1.34,"{""M1"": 0.65, ""M5"": [-7.76, 4.33]}"
6bb19ed8fd73dcaa,6bb19ed8fd73dcaa.json,M1_lead_slow_stop,M6_temp_occupancy;M2_vehicle_crossing;M5_merge;M1_lead_slow_stop,2.965,4.47,"{""M6"": -61.08, ""M2"": 5.69, ""M5"": [-31.51, 10.24], ""M1"": 1.28}"
b06bfeb1c578e77,b06bfeb1c578e77.json,M1_lead_slow_stop,M1_lead_slow_stop,3.647,0.0,"{""M1"": 0.0}"
56ccc5750f15ed5f,56ccc5750f15ed5f.json,M1_lead_slow_stop,M1_lead_slow_stop;M4_cut_in,2.932,0.0,"{""M1"": 0.0, ""M4"": [-14.5]}"
627c9e858445e526,627c9e858445e526.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,3.61,7.01,"{""M2"": 4.04, ""M5"": [-9.49, 58.13]}"
18d655273dfaa17b,18d655273dfaa17b.json,M2_vehicle_crossing,M4_cut_in;M6_temp_occupancy;M2_vehicle_crossing,3.183,18.65,"{""M4"": [6.53], ""M6"": 4.89, ""M2"": 6.19}"
91d61b86be4e7b10,91d61b86be4e7b10.json,M2_vehicle_crossing,M6_temp_occupancy;M2_vehicle_crossing,3.332,0.0,"{""M6"": 38.17, ""M2"": 37.55}"
582aae15098c3428,582aae15098c3428.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in;M5_merge,3.329,4.26,"{""M2"": 7.05, ""M4"": [-5.86], ""M5"": [-8.46, 27.0]}"
b65a402949fb31f,b65a402949fb31f.json,M2_vehicle_crossing,M6_temp_occupancy;M5_merge;M2_vehicle_crossing;M4_cut_in,5.458,10.98,"{""M6"": -3.84, ""M5"": [-30.44, 60.24], ""M2"": 4.52, ""M4"": [8.63]}"
7b1f6d0bf6e2d1f6,7b1f6d0bf6e2d1f6.json,M2_vehicle_crossing,M5_merge;M2_vehicle_crossing;M4_cut_in;M6_temp_occupancy,3.508,1.23,"{""M5"": [-6.43, 42.48], ""M2"": 16.74, ""M4"": [15.97], ""M6"": -29.93}"
cd8a838bce665a70,cd8a838bce665a70.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in;M5_merge,3.081,14.98,"{""M2"": 5.14, ""M4"": [5.61], ""M5"": [-65.72, 53.71]}"
b2bbecd9aa7c99d8,b2bbecd9aa7c99d8.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge;M6_temp_occupancy,3.217,5.23,"{""M2"": 14.06, ""M5"": [-12.95, 22.65], ""M6"": 22.62}"
799ff247470c3549,799ff247470c3549.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,4.244,6.0,"{""M2"": 5.06, ""M5"": [-34.34, 18.88]}"
5d4586d493da8fa7,5d4586d493da8fa7.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in;M5_merge,2.938,14.91,"{""M2"": 8.78, ""M4"": [-3.48], ""M5"": [-37.36, 58.02]}"
6064f2415be71eba,6064f2415be71eba.json,M2_vehicle_crossing,M4_cut_in;M2_vehicle_crossing;M6_temp_occupancy,3.133,0.0,"{""M4"": [-12.52], ""M2"": 38.37, ""M6"": -12.85}"
4d6038940863ff85,4d6038940863ff85.json,M2_vehicle_crossing,M2_vehicle_crossing,2.875,0.0,"{""M2"": 57.36}"
7deccdd519c13352,7deccdd519c13352.json,M2_vehicle_crossing,M6_temp_occupancy;M5_merge;M2_vehicle_crossing;M4_cut_in,3.652,8.1,"{""M6"": 5.75, ""M5"": [-39.37, 10.16], ""M2"": 4.71, ""M4"": [-3.18]}"
79b3221698f21ee7,79b3221698f21ee7.json,M2_vehicle_crossing,M4_cut_in;M5_merge;M2_vehicle_crossing,3.791,5.64,"{""M4"": [4.57], ""M5"": [-56.35, 38.91], ""M2"": 32.59}"
4e1604c6653c917d,4e1604c6653c917d.json,M2_vehicle_crossing,M5_merge;M2_vehicle_crossing;M4_cut_in,4.021,0.2,"{""M5"": [-30.23, 19.78], ""M2"": 10.36, ""M4"": [8.94]}"
585ffc8db08d83cd,585ffc8db08d83cd.json,M2_vehicle_crossing,M2_vehicle_crossing;M6_temp_occupancy;M5_merge,3.202,0.0,"{""M2"": 14.39, ""M6"": -15.1, ""M5"": [-9.8, 12.74]}"
ab90c99c62ce9388,ab90c99c62ce9388.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,1.851,3.5,"{""M2"": 22.06, ""M5"": [-9.31, 33.21]}"
fa7aa51eec4fcc0f,fa7aa51eec4fcc0f.json,M2_vehicle_crossing,M6_temp_occupancy;M4_cut_in;M2_vehicle_crossing;M5_merge,3.318,1.33,"{""M6"": -17.98, ""M4"": [-9.11], ""M2"": 5.64, ""M5"": [-72.46, 8.35]}"
3d5ea6d5d8caf0b0,3d5ea6d5d8caf0b0.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,3.259,17.17,"{""M2"": 5.4, ""M5"": [-64.66, 79.17]}"
bf4a3094f06db35a,bf4a3094f06db35a.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,3.732,16.33,"{""M2"": 4.46, ""M5"": [-74.18, 40.95]}"
70dffe26f853a7ef,70dffe26f853a7ef.json,M2_vehicle_crossing,M5_merge;M2_vehicle_crossing;M4_cut_in;M6_temp_occupancy,3.541,9.95,"{""M5"": [-31.63, 59.59], ""M2"": 6.21, ""M4"": [-4.64], ""M6"": 6.88}"
ba626816eab28971,ba626816eab28971.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in;M5_merge,3.677,17.36,"{""M2"": 18.66, ""M4"": [-3.49], ""M5"": [-58.39, 102.78]}"
38c3cd000a1ba860,38c3cd000a1ba860.json,M2_vehicle_crossing,M4_cut_in;M2_vehicle_crossing,2.764,0.0,"{""M4"": [-24.8], ""M2"": 85.78}"
549511458b4973c3,549511458b4973c3.json,M2_vehicle_crossing,M2_vehicle_crossing,3.235,0.0,"{""M2"": 126.82}"
270199473a16315,270199473a16315.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in,3.807,0.0,"{""M2"": 50.43, ""M4"": [25.11]}"
949fd82d6e44a34d,949fd82d6e44a34d.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in;M5_merge,3.867,5.66,"{""M2"": 5.26, ""M4"": [-5.07], ""M5"": [-14.13, 31.81]}"
645144353bbfdecc,645144353bbfdecc.json,M2_vehicle_crossing,M2_vehicle_crossing;M6_temp_occupancy;M4_cut_in;M5_merge,2.831,0.0,"{""M2"": 4.06, ""M6"": -6.69, ""M4"": [3.3], ""M5"": [-28.7, 81.19]}"
5b236b4877347d5e,5b236b4877347d5e.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge;M4_cut_in,3.031,11.33,"{""M2"": 8.35, ""M5"": [-26.37, 43.96], ""M4"": [-8.18]}"
a85bb8c9decfce02,a85bb8c9decfce02.json,M2_vehicle_crossing,M6_temp_occupancy;M4_cut_in;M2_vehicle_crossing,3.13,0.8,"{""M6"": -28.53, ""M4"": [2.79], ""M2"": 72.07}"
fe2d2a81d65a9c2d,fe2d2a81d65a9c2d.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge;M4_cut_in,3.015,1.0,"{""M2"": 4.86, ""M5"": [-7.77, 25.69], ""M4"": [-2.86]}"
68ebb1345abaaa49,68ebb1345abaaa49.json,M2_vehicle_crossing,M2_vehicle_crossing,2.675,7.2,"{""M2"": 34.13}"
3b2734e62ea77e0b,3b2734e62ea77e0b.json,M2_vehicle_crossing,M6_temp_occupancy;M4_cut_in;M5_merge;M2_vehicle_crossing,3.132,16.6,"{""M6"": -15.82, ""M4"": [6.42], ""M5"": [-44.17, 96.31], ""M2"": 5.36}"
e2e8717cc14408e5,e2e8717cc14408e5.json,M2_vehicle_crossing,M2_vehicle_crossing,3.204,3.65,"{""M2"": 20.84}"
11baee9e26708b28,11baee9e26708b28.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,3.587,12.54,"{""M2"": 5.57, ""M5"": [-31.36, 78.5]}"
26284a71f3345792,26284a71f3345792.json,M2_vehicle_crossing,M2_vehicle_crossing;M6_temp_occupancy;M5_merge,4.31,0.0,"{""M2"": 20.24, ""M6"": -4.26, ""M5"": [-11.98, 12.0]}"
a7f18baa0d6428a,a7f18baa0d6428a.json,M2_vehicle_crossing,M5_merge;M2_vehicle_crossing,3.068,10.45,"{""M5"": [-46.42, 43.49], ""M2"": 4.54}"
36b6d206313b0dc2,36b6d206313b0dc2.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge;M4_cut_in,3.163,15.67,"{""M2"": 5.49, ""M5"": [-44.94, 79.46], ""M4"": [5.76]}"
458477bad7645b27,458477bad7645b27.json,M2_vehicle_crossing,M2_vehicle_crossing,5.005,3.32,"{""M2"": 35.0}"
c57fca37918359be,c57fca37918359be.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge;M6_temp_occupancy,3.763,8.34,"{""M2"": 7.41, ""M5"": [-11.47, 51.7], ""M6"": 9.11}"
831e9f7c915d9a33,831e9f7c915d9a33.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in;M5_merge,3.932,8.78,"{""M2"": 14.53, ""M4"": [-14.22], ""M5"": [-24.48, 32.06]}"
c4f810396985181f,c4f810396985181f.json,M2_vehicle_crossing,M2_vehicle_crossing;M6_temp_occupancy,3.098,0.0,"{""M2"": 12.0, ""M6"": -34.69}"
b8b3771d8b3a87bf,b8b3771d8b3a87bf.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,3.592,5.6,"{""M2"": 10.84, ""M5"": [-21.33, 3.9]}"
15d59741943a4528,15d59741943a4528.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in,1.862,6.15,"{""M2"": 41.41, ""M4"": [-10.44]}"
a577bd257f31c6b3,a577bd257f31c6b3.json,M2_vehicle_crossing,M2_vehicle_crossing,3.382,0.0,"{""M2"": 60.16}"
8001dede9725b235,8001dede9725b235.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,3.598,4.82,"{""M2"": 18.17, ""M5"": [-11.55, 35.68]}"
c4a6a9720515bbc5,c4a6a9720515bbc5.json,M2_vehicle_crossing,M2_vehicle_crossing,3.469,0.0,"{""M2"": 47.14}"
374f7f515942ce08,374f7f515942ce08.json,M2_vehicle_crossing,M6_temp_occupancy;M5_merge;M2_vehicle_crossing,3.586,1.4,"{""M6"": -45.52, ""M5"": [-19.47, 12.7], ""M2"": 5.46}"
bc5fbdd7299bfcea,bc5fbdd7299bfcea.json,M2_vehicle_crossing,M2_vehicle_crossing,3.465,0.0,"{""M2"": 39.74}"
22c359415a84f49e,22c359415a84f49e.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,3.555,7.37,"{""M2"": 23.59, ""M5"": [-14.92, 31.93]}"
ab7b6b79b724bd2d,ab7b6b79b724bd2d.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge;M4_cut_in,3.638,10.43,"{""M2"": 11.77, ""M5"": [-50.48, 36.08], ""M4"": [-11.92]}"
38fc99d2b91ace4f,38fc99d2b91ace4f.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in;M5_merge;M6_temp_occupancy,4.387,6.07,"{""M2"": 8.63, ""M4"": [4.34], ""M5"": [-10.41, 64.08], ""M6"": 22.95}"
3201e0ad7075dd38,3201e0ad7075dd38.json,M2_vehicle_crossing,M2_vehicle_crossing;M6_temp_occupancy,3.356,0.06,"{""M2"": 19.02, ""M6"": -11.44}"
c757f0db71e9ac59,c757f0db71e9ac59.json,M2_vehicle_crossing,M2_vehicle_crossing,2.894,0.0,"{""M2"": 19.45}"
5e6868e3cf3bf22e,5e6868e3cf3bf22e.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,3.75,13.33,"{""M2"": 4.35, ""M5"": [-40.35, 82.22]}"
320d7f0fddc558fb,320d7f0fddc558fb.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in,3.518,4.42,"{""M2"": 30.64, ""M4"": [3.24]}"
b18c133f146677a7,b18c133f146677a7.json,M2_vehicle_crossing,M5_merge;M2_vehicle_crossing;M4_cut_in,3.13,0.0,"{""M5"": [-71.35, 27.3], ""M2"": 4.92, ""M4"": [-5.35]}"
376bec12f4590827,376bec12f4590827.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in;M3_vru_crossing,3.322,2.19,"{""M2"": 32.64, ""M4"": [3.8], ""M3"": 11.13}"
4f19a78e73788325,4f19a78e73788325.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in,3.291,5.54,"{""M2"": 33.23, ""M4"": [12.2]}"
6746a47d4cb56041,6746a47d4cb56041.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,6.081,8.16,"{""M2"": 37.36, ""M5"": [-61.38, 12.46]}"
363faaa196b74966,363faaa196b74966.json,M2_vehicle_crossing,M2_vehicle_crossing;M5_merge,3.503,5.27,"{""M2"": 23.82, ""M5"": [-10.74, 25.25]}"
d547b71b68122235,d547b71b68122235.json,M2_vehicle_crossing,M2_vehicle_crossing;M4_cut_in;M5_merge,4.398,2.66,"{""M2"": 21.76, ""M4"": [7.08], ""M5"": [-12.57, 50.35]}"
98915e2ef682a0ad,98915e2ef682a0ad.json,M2_vehicle_crossing,M6_temp_occupancy;M2_vehicle_crossing,3.386,0.0,"{""M6"": 12.18, ""M2"": 51.31}"
