mech,cell,row,quadrant,intent,match,G0,GL,v0,s0,pl_none_frac,pf_low_frac
cross,cross_stall,12,LateralNecessary,LateralNecessary,True,0.003,12.375,8.012,29.27,0.25,0.0
cross,cross_stall,2,LateralNecessary,LateralNecessary,True,0.0,12.375,5.91,18.15,0.25,0.0
cross,cross_stall,3,LateralNecessary,LateralNecessary,True,0.0,12.375,7.066,23.39,0.25,0.0
cross,cross_stall,4,LateralNecessary,LateralNecessary,True,0.0,12.375,6.913,23.39,0.25,0.0
cross,cross_stall,5,LateralNecessary,LateralNecessary,True,0.0,12.375,8.008,29.27,0.25,0.0
cross,cross_stall,6,LateralNecessary,LateralNecessary,True,0.0,12.375,8.008,29.27,0.25,0.0
cross,cross_stall,7,LateralNecessary,LateralNecessary,True,0.0,12.375,5.924,18.15,0.25,0.0
cross,cross_stall,8,LateralNecessary,LateralNecessary,True,0.0,12.375,5.989,18.15,0.25,0.0
cross,cross_stall,9,LateralNecessary,LateralNecessary,True,0.0,12.375,6.888,23.39,0.25,0.0
cross,cross_stall_occ,1,Contingency/Wait,Contingency/Wait,True,0.0,,5.975,18.15,1.0,0.0
cross,cross_stall_occ,10,Contingency/Wait,Contingency/Wait,True,0.0,,6.99,23.39,1.0,0.0
cross,cross_stall_occ,11,Contingency/Wait,Contingency/Wait,True,0.0,,8.008,29.27,1.0,0.0
cross,cross_stall_occ,12,Contingency/Wait,Contingency/Wait,True,0.0,0.0,8.012,29.27,0.45,0.0
cross,cross_stall_occ,2,Contingency/Wait,Contingency/Wait,True,0.0,,5.881,18.15,1.0,0.0
cross,cross_stall_occ,3,Contingency/Wait,Contingency/Wait,True,0.0,,6.85,23.39,1.0,0.0
cross,cross_stall_occ,4,Contingency/Wait,Contingency/Wait,True,0.0,0.0,6.974,23.39,0.55,0.0
cross,cross_stall_occ,5,Contingency/Wait,Contingency/Wait,True,0.0,0.0,8.023,29.27,0.55,0.0
cross,cross_stall_occ,6,Contingency/Wait,Contingency/Wait,True,0.0,0.005,7.982,29.27,0.55,0.0
cross,cross_stall_occ,7,Contingency/Wait,Contingency/Wait,True,0.0,,5.972,18.15,1.0,0.0
cross,cross_stall_occ,8,Contingency/Wait,Contingency/Wait,True,0.0,,5.874,18.15,1.0,0.0
cross,cross_stall_occ,9,Contingency/Wait,Contingency/Wait,True,0.0,,7.122,23.39,1.0,0.0
lead,lead_cont,1,Contingency/Wait,Contingency/Wait,True,0.0,,6.051,18.15,1.0,0.0
lead,lead_cont,10,Contingency/Wait,Contingency/Wait,True,0.0,,8.991,36.23,0.8,0.0
lead,lead_cont,11,Contingency/Wait,Contingency/Wait,True,0.0,,6.911,23.39,1.0,0.0
lead,lead_cont,12,Contingency/Wait,Contingency/Wait,True,0.006,,8.013,29.27,1.0,0.0
lead,lead_cont,2,Contingency/Wait,Contingency/Wait,True,0.0,,5.925,18.15,1.0,0.0
lead,lead_cont,3,Contingency/Wait,Contingency/Wait,True,0.0,,6.951,23.39,1.0,0.0
lead,lead_cont,4,Contingency/Wait,Contingency/Wait,True,0.0,,7.088,23.39,0.8,0.0
lead,lead_cont,5,Contingency/Wait,Contingency/Wait,True,0.0,0.025,7.974,29.27,0.65,0.0
lead,lead_cont,6,Contingency/Wait,Contingency/Wait,True,0.002,0.033,8.044,29.27,0.75,0.0
lead,lead_cont,7,Contingency/Wait,Contingency/Wait,True,0.0,,8.063,29.27,1.0,0.0
lead,lead_cont,8,Contingency/Wait,Contingency/Wait,True,0.0,,8.992,36.23,0.8,0.0
lead,lead_cont,9,Contingency/Wait,Contingency/Wait,True,0.0,,8.989,36.23,1.0,0.0
lead,lead_nec,1,LateralNecessary,LateralNecessary,True,0.0,12.375,5.986,18.15,0.25,0.0
lead,lead_nec,10,LateralNecessary,LateralNecessary,True,0.0,12.375,9.004,36.23,0.25,0.0
lead,lead_nec,11,LateralNecessary,LateralNecessary,True,0.0,12.375,7.01,23.39,0.25,0.0
lead,lead_nec,12,LateralNecessary,LateralNecessary,True,0.003,12.375,8.011,29.27,0.25,0.0
lead,lead_nec,2,LateralNecessary,LateralNecessary,True,0.0,12.375,5.992,18.15,0.25,0.0
lead,lead_nec,3,LateralNecessary,LateralNecessary,True,0.0,12.375,6.945,23.39,0.25,0.0
lead,lead_nec,4,LateralNecessary,LateralNecessary,True,0.0,12.375,7.021,23.39,0.25,0.0
lead,lead_nec,5,LateralNecessary,LateralNecessary,True,0.0,12.375,8.028,29.27,0.25,0.0
lead,lead_nec,6,LateralNecessary,LateralNecessary,True,0.011,12.375,7.949,29.27,0.25,0.0
lead,lead_nec,7,LateralNecessary,LateralNecessary,True,0.0,12.375,7.989,29.27,0.25,0.0
lead,lead_nec,8,LateralNecessary,LateralNecessary,True,0.0,12.375,9.029,36.23,0.25,0.0
lead,lead_nec,9,LateralNecessary,LateralNecessary,True,0.0,12.375,8.965,36.23,0.25,0.0
lead,lead_opt,1,LateralOptional,LateralOptional,True,2.493,12.375,5.993,18.15,0.25,0.0
lead,lead_opt,10,LateralOptional,LateralOptional,True,2.495,12.375,7.963,29.27,0.25,0.0
lead,lead_opt,11,LateralOptional,LateralOptional,True,3.992,12.375,5.992,18.15,0.25,0.0
lead,lead_opt,12,LateralOptional,LateralOptional,True,2.994,12.375,6.994,23.39,0.25,0.0
lead,lead_opt,2,LateralOptional,LateralOptional,True,2.987,12.375,5.956,18.15,0.25,0.0
lead,lead_opt,3,LateralOptional,LateralOptional,True,2.458,12.375,7.052,23.39,0.25,0.0
lead,lead_opt,4,LateralOptional,LateralOptional,True,4.017,12.375,7.017,23.39,0.25,0.0
lead,lead_opt,5,LateralOptional,LateralOptional,True,3.017,12.375,7.986,29.27,0.25,0.0
lead,lead_opt,6,LateralOptional,LateralOptional,True,4.351,12.375,8.007,29.27,0.25,0.0
lead,lead_opt,7,LateralOptional,LateralOptional,True,3.978,12.375,9.072,36.23,0.25,0.0
lead,lead_opt,8,LateralOptional,LateralOptional,True,3.114,12.375,8.989,36.23,0.25,0.0
lead,lead_opt,9,LateralOptional,LateralOptional,True,2.508,12.375,7.008,23.39,0.25,0.0
temp,temp_opt,1,LateralOptional,LateralOptional,True,8.532,12.375,6.001,18.15,0.25,0.0
temp,temp_opt,10,LateralOptional,LateralOptional,True,12.375,12.375,5.985,18.15,0.25,0.0
temp,temp_opt,11,LateralOptional,LateralOptional,True,10.719,12.375,7.001,23.39,0.25,0.0
temp,temp_opt,12,LateralOptional,LateralOptional,True,9.025,12.375,7.994,29.27,0.25,0.0
temp,temp_opt,2,LateralOptional,LateralOptional,True,8.018,12.375,5.987,18.15,0.25,0.0
temp,temp_opt,3,LateralOptional,LateralOptional,True,7.138,12.375,6.138,18.15,0.25,0.0
temp,temp_opt,4,LateralOptional,LateralOptional,True,9.111,12.375,7.018,23.39,0.25,0.0
temp,temp_opt,5,LateralOptional,LateralOptional,True,9.067,12.375,6.973,23.39,0.25,0.0
temp,temp_opt,6,LateralOptional,LateralOptional,True,6.798,12.375,7.048,23.39,0.25,0.0
temp,temp_opt,7,LateralOptional,LateralOptional,True,8.988,12.375,7.957,29.27,0.25,0.0
temp,temp_opt,8,LateralOptional,LateralOptional,True,6.75,12.375,8.019,29.27,0.25,0.0
temp,temp_opt,9,LateralOptional,LateralOptional,True,3.0,12.375,7.959,29.27,0.25,0.0
