scenario,town,route,raw_route,usable_by_results,frames,approx_train_samples
Accident,Town13,Town13_Rep0_1255_0_route0_07_24_16_26_42,1,0,61,0
Accident,Town13,Town13_Rep0_1255_1_route0_07_24_19_30_07,1,0,64,0
Accident,Town13,Town13_Rep0_1255_2_route0_07_25_08_48_39,1,0,63,0
Accident,Town13,Town13_Rep0_1272_0_route0_07_24_21_48_46,1,1,59,43
Accident,Town13,Town13_Rep0_1272_1_route0_07_24_19_24_46,1,1,58,42
Accident,Town13,Town13_Rep0_1272_2_route0_07_24_14_04_46,1,1,58,42
Accident,Town13,Town13_Rep0_1276_0_route0_07_25_06_58_19,1,0,62,0
Accident,Town13,Town13_Rep0_1276_1_route0_07_24_13_35_06,1,0,63,0
Accident,Town13,Town13_Rep0_1276_2_route0_07_25_05_45_37,1,0,59,0
Accident,Town13,Town13_Rep0_1281_0_route0_07_24_19_04_37,1,1,73,57
Accident,Town13,Town13_Rep0_1281_1_route0_07_24_19_53_25,1,1,63,47
Accident,Town13,Town13_Rep0_1281_2_route0_07_25_09_14_00,1,1,68,52
Accident,Town13,Town13_Rep0_1286_0_route0_07_25_01_15_41,1,1,175,159
Accident,Town13,Town13_Rep0_1286_1_route0_07_24_16_05_33,1,1,174,158
Accident,Town13,Town13_Rep0_1286_2_route0_07_25_08_28_24,1,1,179,163
Accident,Town13,Town13_Rep0_1392_0_route0_07_24_13_55_58,1,1,87,71
Accident,Town13,Town13_Rep0_1392_1_route0_07_24_13_07_36,1,1,108,92
Accident,Town13,Town13_Rep0_1392_2_route0_07_24_14_31_46,1,1,76,60
Accident,Town13,Town13_Rep0_1627_0_route0_07_25_02_20_46,1,1,103,87
Accident,Town13,Town13_Rep0_1627_1_route0_07_24_20_15_32,1,1,57,41
Accident,Town13,Town13_Rep0_1627_2_route0_07_24_14_16_38,1,1,89,73
Accident,Town13,Town13_Rep0_1683_0_route0_07_24_16_05_12,1,1,95,79
Accident,Town13,Town13_Rep0_1683_1_route0_07_25_01_26_27,1,1,101,85
Accident,Town13,Town13_Rep0_1683_2_route0_07_24_23_36_38,1,1,88,72
Accident,Town13,Town13_Rep0_1707_0_route0_07_24_21_26_28,1,1,74,58
Accident,Town13,Town13_Rep0_1707_1_route0_07_25_10_04_57,1,1,71,55
Accident,Town13,Town13_Rep0_1707_2_route0_07_24_17_25_24,1,1,81,65
Accident,Town13,Town13_Rep0_4_0_route0_07_24_13_57_40,1,1,68,52
Accident,Town13,Town13_Rep0_4_1_route0_07_24_22_21_58,1,1,76,60
Accident,Town13,Town13_Rep0_5_0_route0_07_24_19_00_05,1,1,83,67
Accident,Town13,Town13_Rep0_5_1_route0_07_25_07_57_27,1,1,80,64
Accident,Town13,Town13_Rep0_61_0_route0_07_25_01_14_07,1,1,115,99
Accident,Town13,Town13_Rep0_61_1_route0_07_24_15_29_58,1,1,122,106
Accident,Town13,Town13_Rep0_68_0_route0_07_25_07_44_50,1,1,241,225
Accident,Town13,Town13_Rep0_68_1_route0_07_25_10_57_10,1,1,243,227
AccidentTwoWays,Town12,Town12_Rep0_1152_0_route0_07_24_14_15_04,1,1,166,150
AccidentTwoWays,Town12,Town12_Rep0_1214_0_route0_07_25_03_08_17,1,1,147,131
AccidentTwoWays,Town12,Town12_Rep0_1218_0_route0_07_25_05_23_04,1,1,105,89
AccidentTwoWays,Town12,Town12_Rep0_1286_0_route0_07_24_22_01_36,1,1,148,132
AccidentTwoWays,Town12,Town12_Rep0_1348_0_route0_07_24_16_34_01,1,1,154,138
AccidentTwoWays,Town12,Town12_Rep0_1456_0_route0_07_24_14_48_18,1,1,161,145
AccidentTwoWays,Town12,Town12_Rep0_1498_0_route0_07_25_02_34_43,1,1,147,131
AccidentTwoWays,Town12,Town12_Rep0_1573_0_route0_07_24_17_31_53,1,1,241,225
AccidentTwoWays,Town12,Town12_Rep0_1809_0_route0_07_24_17_48_12,1,1,210,194
AccidentTwoWays,Town12,Town12_Rep0_1950_0_route0_07_25_09_52_36,1,1,146,130
AccidentTwoWays,Town12,Town12_Rep0_1966_0_route0_07_25_01_24_56,1,1,138,122
AccidentTwoWays,Town12,Town12_Rep0_1979_0_route0_07_25_10_19_37,1,1,119,103
AccidentTwoWays,Town12,Town12_Rep0_1987_0_route0_07_25_07_10_27,1,1,117,101
AccidentTwoWays,Town12,Town12_Rep0_2005_0_route0_07_25_08_16_15,1,1,155,139
AccidentTwoWays,Town12,Town12_Rep0_2058_0_route0_07_24_22_07_36,1,1,195,179
AccidentTwoWays,Town12,Town12_Rep0_2113_0_route0_07_25_09_30_56,1,1,136,120
AccidentTwoWays,Town12,Town12_Rep0_26_0_route0_07_24_23_50_08,1,1,255,239
AccidentTwoWays,Town12,Town12_Rep0_2724_0_route0_07_24_13_32_52,1,1,167,151
AccidentTwoWays,Town12,Town12_Rep0_2773_0_route0_07_25_10_18_16,1,1,115,99
AccidentTwoWays,Town12,Town12_Rep0_2868_0_route0_07_25_09_56_23,1,1,248,232
AccidentTwoWays,Town12,Town12_Rep0_2896_0_route0_07_25_05_32_28,1,1,160,144
AccidentTwoWays,Town12,Town12_Rep0_2919_0_route0_07_25_03_55_37,1,1,134,118
AccidentTwoWays,Town12,Town12_Rep0_3161_0_route0_07_24_21_16_25,1,1,169,153
AccidentTwoWays,Town12,Town12_Rep0_3403_0_route0_07_25_03_38_50,1,1,143,127
AccidentTwoWays,Town12,Town12_Rep0_3420_0_route0_07_25_09_00_13,1,1,167,151
AccidentTwoWays,Town12,Town12_Rep0_3455_0_route0_07_25_09_25_10,1,1,145,129
AccidentTwoWays,Town12,Town12_Rep0_3461_0_route0_07_24_20_40_13,1,1,129,113
AccidentTwoWays,Town12,Town12_Rep0_3480_0_route0_07_24_14_20_10,1,1,136,120
AccidentTwoWays,Town12,Town12_Rep0_3525_0_route0_07_25_01_20_52,1,1,103,87
AccidentTwoWays,Town12,Town12_Rep0_3541_0_route0_07_24_23_40_18,1,1,156,140
AccidentTwoWays,Town12,Town12_Rep0_3555_0_route0_07_24_14_59_59,1,1,119,103
AccidentTwoWays,Town12,Town12_Rep0_3562_0_route0_07_25_01_49_37,1,1,118,102
AccidentTwoWays,Town12,Town12_Rep0_3569_0_route0_07_24_16_11_11,1,0,115,0
AccidentTwoWays,Town12,Town12_Rep0_3687_0_route0_07_24_19_39_33,1,1,257,241
AccidentTwoWays,Town12,Town12_Rep0_372_0_route0_07_25_09_01_28,1,1,154,138
AccidentTwoWays,Town12,Town12_Rep0_399_0_route0_07_25_00_42_40,1,1,114,98
AccidentTwoWays,Town12,Town12_Rep0_408_0_route0_07_24_23_57_42,1,1,116,100
AccidentTwoWays,Town12,Town12_Rep0_419_0_route0_07_25_07_13_32,1,1,149,133
AccidentTwoWays,Town12,Town12_Rep0_425_0_route0_07_24_13_44_27,1,1,121,105
AccidentTwoWays,Town12,Town12_Rep0_4297_0_route0_07_24_22_35_43,1,1,104,88
AccidentTwoWays,Town12,Town12_Rep0_4311_0_route0_07_25_04_15_50,1,1,143,127
AccidentTwoWays,Town12,Town12_Rep0_4324_0_route0_07_24_21_51_21,1,1,153,137
AccidentTwoWays,Town12,Town12_Rep0_4335_0_route0_07_25_00_56_32,1,1,154,138
AccidentTwoWays,Town12,Town12_Rep0_4616_0_route0_07_25_07_48_00,1,1,126,110
AccidentTwoWays,Town12,Town12_Rep0_479_0_route0_07_25_04_52_47,1,1,144,128
AccidentTwoWays,Town12,Town12_Rep0_487_0_route0_07_25_06_56_03,1,1,118,102
AccidentTwoWays,Town12,Town12_Rep0_539_0_route0_07_24_13_47_13,1,1,196,180
AccidentTwoWays,Town12,Town12_Rep0_846_0_route0_07_24_14_49_52,1,1,352,336
AccidentTwoWays,Town12,Town12_Rep0_866_0_route0_07_24_15_02_39,1,1,209,193
AccidentTwoWays,Town13,Town13_Rep0_1153_0_route0_07_25_05_21_30,1,1,172,156
AccidentTwoWays,Town13,Town13_Rep0_1153_1_route0_07_24_15_43_46,1,1,174,158
AccidentTwoWays,Town13,Town13_Rep0_1157_0_route0_07_24_17_09_41,1,1,228,212
AccidentTwoWays,Town13,Town13_Rep0_1157_1_route0_07_25_09_37_54,1,1,949,933
AccidentTwoWays,Town13,Town13_Rep0_1174_0_route0_07_24_14_56_24,1,1,169,153
AccidentTwoWays,Town13,Town13_Rep0_1174_1_route0_07_24_15_23_21,1,1,166,150
AccidentTwoWays,Town13,Town13_Rep0_1292_0_route0_07_24_20_02_13,1,1,110,94
AccidentTwoWays,Town13,Town13_Rep0_1292_1_route0_07_25_01_20_57,1,1,107,91
AccidentTwoWays,Town13,Town13_Rep0_1299_0_route0_07_25_09_01_40,1,1,103,87
AccidentTwoWays,Town13,Town13_Rep0_1299_1_route0_07_24_16_39_01,1,1,102,86
AccidentTwoWays,Town13,Town13_Rep0_1303_0_route0_07_24_19_48_42,1,1,127,111
AccidentTwoWays,Town13,Town13_Rep0_1303_1_route0_07_24_13_41_14,1,1,131,115
AccidentTwoWays,Town13,Town13_Rep0_1308_0_route0_07_25_05_13_07,1,1,144,128
AccidentTwoWays,Town13,Town13_Rep0_1308_1_route0_07_25_05_12_13,1,1,140,124
AccidentTwoWays,Town13,Town13_Rep0_1338_0_route0_07_25_08_33_31,1,1,104,88
AccidentTwoWays,Town13,Town13_Rep0_1338_1_route0_07_24_14_18_14,1,1,138,122
AccidentTwoWays,Town13,Town13_Rep0_1374_0_route0_07_25_06_08_37,1,1,117,101
AccidentTwoWays,Town13,Town13_Rep0_1374_1_route0_07_25_03_55_00,1,1,145,129
AccidentTwoWays,Town13,Town13_Rep0_1402_0_route0_07_25_02_03_05,1,1,144,128
AccidentTwoWays,Town13,Town13_Rep0_1402_1_route0_07_24_14_44_30,1,1,143,127
AccidentTwoWays,Town13,Town13_Rep0_1421_0_route0_07_24_23_46_33,1,1,167,151
AccidentTwoWays,Town13,Town13_Rep0_1421_1_route0_07_24_16_59_05,1,1,166,150
AccidentTwoWays,Town13,Town13_Rep0_1427_0_route0_07_24_19_39_12,1,1,155,139
AccidentTwoWays,Town13,Town13_Rep0_1427_1_route0_07_24_14_37_15,1,0,1019,0
AccidentTwoWays,Town13,Town13_Rep0_1436_0_route0_07_25_04_29_55,1,1,163,147
AccidentTwoWays,Town13,Town13_Rep0_1436_1_route0_07_25_09_45_51,1,1,158,142
AccidentTwoWays,Town13,Town13_Rep0_1442_0_route0_07_25_08_37_25,1,1,105,89
AccidentTwoWays,Town13,Town13_Rep0_1442_1_route0_07_25_04_01_12,1,1,106,90
AccidentTwoWays,Town13,Town13_Rep0_1454_0_route0_07_24_14_15_07,1,1,140,124
AccidentTwoWays,Town13,Town13_Rep0_1454_1_route0_07_25_08_26_24,1,1,144,128
AccidentTwoWays,Town13,Town13_Rep0_1491_0_route0_07_24_15_19_26,1,1,139,123
AccidentTwoWays,Town13,Town13_Rep0_1491_1_route0_07_24_14_05_24,1,1,137,121
AccidentTwoWays,Town13,Town13_Rep0_1499_0_route0_07_24_19_10_05,1,1,142,126
AccidentTwoWays,Town13,Town13_Rep0_1499_1_route0_07_25_07_19_47,1,1,144,128
AccidentTwoWays,Town13,Town13_Rep0_1506_0_route0_07_24_14_38_35,1,1,163,147
AccidentTwoWays,Town13,Town13_Rep0_1506_1_route0_07_24_13_14_02,1,1,159,143
AccidentTwoWays,Town13,Town13_Rep0_1551_0_route0_07_24_14_14_46,1,1,139,123
AccidentTwoWays,Town13,Town13_Rep0_1551_1_route0_07_24_18_58_13,1,1,143,127
AccidentTwoWays,Town13,Town13_Rep0_1554_0_route0_07_24_13_59_34,1,1,104,88
AccidentTwoWays,Town13,Town13_Rep0_1554_1_route0_07_25_00_56_41,1,1,142,126
AccidentTwoWays,Town13,Town13_Rep0_1574_0_route0_07_24_19_41_21,1,1,173,157
AccidentTwoWays,Town13,Town13_Rep0_1574_1_route0_07_24_17_04_14,1,1,171,155
AccidentTwoWays,Town13,Town13_Rep0_1599_0_route0_07_24_21_59_08,1,1,131,115
AccidentTwoWays,Town13,Town13_Rep0_1599_1_route0_07_25_00_46_43,1,1,132,116
AccidentTwoWays,Town13,Town13_Rep0_1631_0_route0_07_25_09_15_54,1,1,140,124
AccidentTwoWays,Town13,Town13_Rep0_1643_0_route0_07_24_15_38_17,1,1,164,148
AccidentTwoWays,Town13,Town13_Rep0_1740_0_route0_07_24_13_47_12,1,1,147,131
AccidentTwoWays,Town13,Town13_Rep0_1756_0_route0_07_24_15_40_57,1,1,147,131
AccidentTwoWays,Town13,Town13_Rep0_1779_0_route0_07_24_17_36_52,1,1,312,296
AccidentTwoWays,Town13,Town13_Rep0_50_0_route0_07_24_15_58_38,1,1,209,193
BlockedIntersection,Town12,Town12_Rep0_1070_0_route0_07_24_13_45_26,1,1,77,61
BlockedIntersection,Town12,Town12_Rep0_1080_0_route0_07_24_17_51_11,1,1,190,174
BlockedIntersection,Town12,Town12_Rep0_1176_0_route0_07_25_06_13_24,1,1,79,63
BlockedIntersection,Town12,Town12_Rep0_1207_0_route0_07_25_03_40_50,1,1,35,19
BlockedIntersection,Town12,Town12_Rep0_1281_0_route0_07_24_16_11_26,1,1,77,61
BlockedIntersection,Town12,Town12_Rep0_1309_0_route0_07_25_09_40_43,1,1,79,63
BlockedIntersection,Town12,Town12_Rep0_1509_0_route0_07_25_01_10_48,1,1,91,75
BlockedIntersection,Town12,Town12_Rep0_1523_0_route0_07_25_09_30_29,1,1,103,87
BlockedIntersection,Town12,Town12_Rep0_1568_0_route0_07_25_05_45_57,1,1,109,93
BlockedIntersection,Town12,Town12_Rep0_1613_0_route0_07_25_00_09_15,1,0,234,0
BlockedIntersection,Town12,Town12_Rep0_1659_0_route0_07_25_02_40_56,1,0,0,0
BlockedIntersection,Town12,Town12_Rep0_1659_0_route0_07_25_10_39_18,1,1,117,101
BlockedIntersection,Town12,Town12_Rep0_1828_0_route0_07_24_16_43_41,1,1,93,77
BlockedIntersection,Town12,Town12_Rep0_1858_0_route0_07_25_06_54_52,1,1,105,89
BlockedIntersection,Town12,Town12_Rep0_1881_0_route0_07_25_06_26_25,1,1,99,83
BlockedIntersection,Town12,Town12_Rep0_1904_0_route0_07_25_02_58_14,1,1,105,89
BlockedIntersection,Town12,Town12_Rep0_1921_0_route0_07_25_05_57_10,1,1,32,16
BlockedIntersection,Town12,Town12_Rep0_194_0_route0_07_24_17_03_51,1,1,118,102
BlockedIntersection,Town12,Town12_Rep0_19_0_route0_07_25_01_23_16,1,1,93,77
BlockedIntersection,Town12,Town12_Rep0_2024_0_route0_07_24_15_39_26,1,1,116,100
BlockedIntersection,Town12,Town12_Rep0_2181_0_route0_07_24_15_32_57,1,1,77,61
BlockedIntersection,Town12,Town12_Rep0_2399_0_route0_07_25_07_50_25,1,1,196,180
BlockedIntersection,Town12,Town12_Rep0_2411_0_route0_07_25_04_17_17,1,1,35,19
BlockedIntersection,Town12,Town12_Rep0_2564_0_route0_07_24_13_31_35,1,1,81,65
BlockedIntersection,Town12,Town12_Rep0_2733_0_route0_07_25_06_19_41,1,1,94,78
BlockedIntersection,Town12,Town12_Rep0_2800_0_route0_07_25_08_00_34,1,1,77,61
BlockedIntersection,Town12,Town12_Rep0_2922_0_route0_07_25_03_49_10,1,1,78,62
BlockedIntersection,Town12,Town12_Rep0_2987_0_route0_07_25_08_41_27,1,1,30,14
BlockedIntersection,Town12,Town12_Rep0_3032_0_route0_07_25_02_20_29,1,1,49,33
BlockedIntersection,Town12,Town12_Rep0_3070_0_route0_07_25_01_05_49,1,1,49,33
BlockedIntersection,Town12,Town12_Rep0_3085_0_route0_07_24_20_01_58,1,1,77,61
BlockedIntersection,Town12,Town12_Rep0_3146_0_route0_07_24_15_17_12,1,1,104,88
BlockedIntersection,Town12,Town12_Rep0_3174_0_route0_07_25_01_52_11,1,1,75,59
BlockedIntersection,Town12,Town12_Rep0_3208_0_route0_07_24_17_48_22,1,1,194,178
BlockedIntersection,Town12,Town12_Rep0_3350_0_route0_07_25_00_52_20,1,1,90,74
BlockedIntersection,Town12,Town12_Rep0_3386_0_route0_07_25_05_49_39,1,1,47,31
BlockedIntersection,Town12,Town12_Rep0_346_0_route0_07_25_05_01_51,1,1,77,61
BlockedIntersection,Town12,Town12_Rep0_356_0_route0_07_25_08_49_26,1,1,102,86
BlockedIntersection,Town12,Town12_Rep0_3833_0_route0_07_24_15_54_24,1,1,174,158
BlockedIntersection,Town12,Town12_Rep0_3878_0_route0_07_24_13_43_24,1,1,80,64
BlockedIntersection,Town12,Town12_Rep0_3924_0_route0_07_25_08_20_15,1,1,87,71
BlockedIntersection,Town12,Town12_Rep0_4045_0_route0_07_25_02_09_03,1,1,131,115
BlockedIntersection,Town12,Town12_Rep0_4152_0_route0_07_24_15_59_35,1,1,196,180
BlockedIntersection,Town12,Town12_Rep0_438_0_route0_07_24_18_49_59,1,1,71,55
BlockedIntersection,Town12,Town12_Rep0_4451_0_route0_07_25_06_09_59,1,1,137,121
BlockedIntersection,Town12,Town12_Rep0_4531_0_route0_07_24_13_47_48,1,1,81,65
BlockedIntersection,Town12,Town12_Rep0_4549_0_route0_07_25_02_02_33,1,1,89,73
BlockedIntersection,Town12,Town12_Rep0_4579_0_route0_07_24_13_41_39,1,1,76,60
BlockedIntersection,Town12,Town12_Rep0_613_0_route0_07_24_23_31_17,1,1,173,157
BlockedIntersection,Town12,Town12_Rep0_765_0_route0_07_25_04_49_49,1,1,236,220
BlockedIntersection,Town12,Town12_Rep0_833_0_route0_07_25_08_59_22,1,1,115,99
BlockedIntersection,Town13,Town13_Rep0_1016_0_route0_07_25_07_07_55,1,1,90,74
BlockedIntersection,Town13,Town13_Rep0_1016_1_route0_07_24_17_13_57,1,1,89,73
BlockedIntersection,Town13,Town13_Rep0_1074_0_route0_07_24_15_43_50,1,1,80,64
BlockedIntersection,Town13,Town13_Rep0_1074_1_route0_07_25_07_27_22,1,1,81,65
BlockedIntersection,Town13,Town13_Rep0_1084_0_route0_07_24_14_53_37,1,1,90,74
BlockedIntersection,Town13,Town13_Rep0_1084_1_route0_07_24_15_17_10,1,1,88,72
BlockedIntersection,Town13,Town13_Rep0_1125_0_route0_07_25_03_13_51,1,1,249,233
BlockedIntersection,Town13,Town13_Rep0_1125_1_route0_07_25_03_00_33,1,1,248,232
BlockedIntersection,Town13,Town13_Rep0_1142_0_route0_07_24_15_52_09,1,1,105,89
BlockedIntersection,Town13,Town13_Rep0_1142_1_route0_07_25_04_07_53,1,1,102,86
BlockedIntersection,Town13,Town13_Rep0_1146_0_route0_07_24_22_36_27,1,1,109,93
BlockedIntersection,Town13,Town13_Rep0_1146_1_route0_07_24_17_11_50,1,1,110,94
BlockedIntersection,Town13,Town13_Rep0_1151_0_route0_07_25_06_37_05,1,1,126,110
BlockedIntersection,Town13,Town13_Rep0_1161_0_route0_07_24_19_45_02,1,1,106,90
BlockedIntersection,Town13,Town13_Rep0_1169_0_route0_07_25_06_00_07,1,1,100,84
BlockedIntersection,Town13,Town13_Rep0_1178_0_route0_07_25_07_10_36,1,1,102,86
BlockedIntersection,Town13,Town13_Rep0_1202_0_route0_07_25_02_41_13,1,1,102,86
BlockedIntersection,Town13,Town13_Rep0_1221_0_route0_07_24_14_41_25,1,1,111,95
BlockedIntersection,Town13,Town13_Rep0_1237_0_route0_07_24_19_56_35,1,1,87,71
BlockedIntersection,Town13,Town13_Rep0_1289_0_route0_07_24_21_50_08,1,1,89,73
BlockedIntersection,Town13,Town13_Rep0_1333_0_route0_07_25_08_50_22,1,1,180,164
BlockedIntersection,Town13,Town13_Rep0_1344_0_route0_07_25_05_43_27,1,1,114,98
BlockedIntersection,Town13,Town13_Rep0_1431_0_route0_07_24_19_21_05,1,1,117,101
BlockedIntersection,Town13,Town13_Rep0_1443_0_route0_07_24_15_08_29,1,1,103,87
BlockedIntersection,Town13,Town13_Rep0_1486_0_route0_07_25_02_38_49,1,1,109,93
BlockedIntersection,Town13,Town13_Rep0_1500_0_route0_07_25_06_23_17,1,1,112,96
BlockedIntersection,Town13,Town13_Rep0_1530_0_route0_07_24_21_20_19,1,1,117,101
BlockedIntersection,Town13,Town13_Rep0_1532_0_route0_07_25_03_21_04,1,1,111,95
BlockedIntersection,Town13,Town13_Rep0_1588_0_route0_07_24_14_35_53,1,1,128,112
BlockedIntersection,Town13,Town13_Rep0_1600_0_route0_07_25_05_42_36,1,1,93,77
BlockedIntersection,Town13,Town13_Rep0_1616_0_route0_07_24_19_47_19,1,1,113,97
BlockedIntersection,Town13,Town13_Rep0_1634_0_route0_07_25_00_41_39,1,1,103,87
BlockedIntersection,Town13,Town13_Rep0_1642_0_route0_07_25_03_17_31,1,1,116,100
BlockedIntersection,Town13,Town13_Rep0_1648_0_route0_07_24_21_18_58,1,1,108,92
BlockedIntersection,Town13,Town13_Rep0_1650_0_route0_07_24_23_30_03,1,1,117,101
BlockedIntersection,Town13,Town13_Rep0_1685_0_route0_07_24_15_34_34,1,1,124,108
BlockedIntersection,Town13,Town13_Rep0_1719_0_route0_07_24_15_01_48,1,1,94,78
BlockedIntersection,Town13,Town13_Rep0_1730_0_route0_07_25_00_39_08,1,1,108,92
BlockedIntersection,Town13,Town13_Rep0_1743_0_route0_07_24_23_53_35,1,1,106,90
BlockedIntersection,Town13,Town13_Rep0_1745_0_route0_07_24_13_40_01,1,1,106,90
BlockedIntersection,Town13,Town13_Rep0_1749_0_route0_07_24_15_53_58,1,1,107,91
BlockedIntersection,Town13,Town13_Rep0_1767_0_route0_07_25_07_17_59,1,1,106,90
BlockedIntersection,Town13,Town13_Rep0_1782_0_route0_07_25_03_19_15,1,1,102,86
BlockedIntersection,Town13,Town13_Rep0_18_0_route0_07_24_15_10_02,1,1,92,76
BlockedIntersection,Town13,Town13_Rep0_27_0_route0_07_24_14_29_56,1,1,180,164
BlockedIntersection,Town13,Town13_Rep0_44_0_route0_07_24_16_13_44,1,1,93,77
BlockedIntersection,Town13,Town13_Rep0_69_0_route0_07_24_13_52_51,1,1,95,79
BlockedIntersection,Town13,Town13_Rep0_6_0_route0_07_24_13_33_22,1,1,86,70
BlockedIntersection,Town13,Town13_Rep0_88_0_route0_07_25_01_28_11,1,1,122,106
BlockedIntersection,Town13,Town13_Rep0_98_0_route0_07_25_03_36_27,1,1,119,103
